0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
MDGH GMTN RSC LTD,2.88,11/7/2029,"14,800,000","13,669,363","13,320,000"
MDGH GMTN RSC LTD,4.50,11/7/2028,"15,000,000","14,794,766","14,653,125"
MDGH GMTN RSC LTD,3.00,3/28/2027,"23,300,000","22,388,796","21,952,969"
MDGH GMTN RSC LTD,2.50,5/21/2026,"10,000,000","9,606,607","9,476,100"
MDGH GMTN RSC LTD,2.50,11/7/2024,"4,600,000","4,564,376","4,541,063"
MEDLINE BORROWER LP,5.25,10/1/2029,"100,326,000","91,127,742","95,616,698"
MEDLINE BORROWER LP,3.88,4/1/2029,"160,090,000","145,133,620","147,407,670"
MEDLINE BORROWER LP,1.00,10/23/2028,"4,531,459","4,528,287","4,537,531"
MEDLINE BORROWER/MEDL CO,6.25,4/1/2029,"37,662,000","37,682,881","38,082,308"
MEDTRONIC GLOBAL HLDINGS,4.50,3/30/2033,"24,000,000","23,941,403","23,074,320"
MEG ENERGY CORP,5.88,2/1/2029,"11,688,000","11,237,571","11,371,021"
MEG ENERGY CORP,7.13,2/1/2027,"2,628,000","2,603,143","2,665,554"
MERCEDES BENZ FIN NA,5.05,8/3/2033,"11,000,000","10,953,830","10,825,100"
MERCK + CO INC,5.15,5/17/2063,"21,500,000","21,574,200","20,398,985"
MERCK + CO INC,2.90,12/10/2061,"8,000,000","6,629,581","4,788,080"
MERCK + CO INC,5.00,5/17/2053,"21,500,000","21,468,089","20,233,650"
MERCK + CO INC,2.75,12/10/2051,"35,000,000","32,110,064","21,884,800"
MERCK + CO INC,4.00,3/7/2049,"17,450,000","17,881,566","14,104,312"
MERCK + CO INC,3.70,2/10/2045,"8,650,000","9,010,580","6,786,704"
MERCK + CO INC,4.90,5/17/2044,"63,500,000","63,234,151","59,565,540"
MERCK + CO INC,2.35,6/24/2040,"3,250,000","3,172,047","2,218,320"
MERCK + CO INC,4.50,5/17/2033,"1,000,000","993,227","966,200"
MESA WEST CORE LENDIG FUND LLC,1.00,1/26/2025,"150,727,388","150,727,388","150,727,388"
MET LIFE GLOB FUNDING I,2.40,1/11/2032,"21,500,000","21,273,653","17,678,590"
META PLATFORMS INC,5.75,5/15/2063,"20,000,000","20,121,779","20,565,200"
META PLATFORMS INC,4.65,8/15/2062,"26,500,000","25,751,866","22,894,675"
META PLATFORMS INC,5.60,5/15/2053,"55,000,000","56,114,115","56,141,250"
META PLATFORMS INC,4.45,8/15/2052,"68,500,000","65,288,340","59,063,440"
META PLATFORMS INC,3.85,8/15/2032,"36,500,000","36,310,975","33,960,695"
METHANEX CORP,5.25,12/15/2029,"13,150,000","12,370,057","12,690,671"
METHANEX CORP,5.13,10/15/2027,"14,225,000","13,848,367","13,718,306"
METLIFE INC,10.75,8/1/2069,"34,500,000","41,980,588","45,976,425"
METLIFE INC,9.25,4/8/2068,"43,100,000","48,120,561","50,066,253"
METLIFE INC,5.00,7/15/2052,"16,000,000","15,831,907","14,580,320"
METLIFE INC,4.72,12/15/2044,"3,500,000","3,903,458","3,088,575"
METLIFE INC,4.88,11/13/2043,"3,000,000","3,673,725","2,730,630"
METLIFE INC,5.38,7/15/2033,"2,500,000","2,543,122","2,522,025"
MEXICO CITY ARPT TRUST,5.50,7/31/2047,"15,000,000","12,373,098","12,426,563"
MEXICO CITY ARPT TRUST,5.50,10/31/2046,"15,000,000","12,009,185","12,435,938"
MEXICO CITY ARPT TRUST,4.25,10/31/2026,"14,200,000","13,767,354","13,647,478"
MGM RESORTS INTL,6.50,4/15/2032,"26,338,000","26,137,186","26,215,792"
MGM RESORTS INTL,4.75,10/15/2028,"22,170,000","20,761,288","21,104,288"
MGM RESORTS INTL,5.50,4/15/2027,"29,834,000","29,200,309","29,474,799"
MGM RESORTS INTL,5.75,6/15/2025,"13,596,000","13,529,994","13,555,348"
MI WINDOWS AND DOORS LLC,1.00,3/28/2031,"4,035,000","4,029,956","4,056,022"
MICHAELS COS INC/THE,5.25,5/1/2028,"20,390,000","17,629,606","16,279,784"
MICROSOFT CORP,3.04,3/17/2062,"11,500,000","10,850,578","7,608,745"
MICROSOFT CORP,2.68,6/1/2060,"72,959,000","67,241,392","44,356,883"
MICROSOFT CORP,2.92,3/17/2052,"100,500,000","94,830,754","68,265,630"
MICROSOFT CORP,2.53,6/1/2050,"96,836,000","89,950,362","61,136,440"
MICROSTRATEGY INC,6.13,6/15/2028,"10,825,000","10,140,028","10,490,399"
MID AMERICA APARTMENTS,2.88,9/15/2051,"7,000,000","6,910,581","4,345,530"
MID AMERICA APARTMENTS,5.00,3/15/2034,"12,000,000","11,867,292","11,654,760"
