0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
FNMA POOL AH2159,4.50,3/1/2041,"13,438","14,727","13,038"
FNMA POOL AH2182,4.00,11/1/2040,"349,996","379,416","330,562"
FNMA POOL AH2367,4.00,1/1/2041,"4,912","5,323","4,639"
FNMA POOL AH2714,4.50,1/1/2041,"4,388,613","4,658,471","4,262,503"
FNMA POOL AH2727,4.50,1/1/2041,"7,701,013","8,439,390","7,479,719"
FNMA POOL AH2755,4.50,4/1/2041,"39,472","41,705","38,297"
FNMA POOL AH2899,4.50,1/1/2041,"52,455","57,659","50,944"
FNMA POOL AH3519,4.00,2/1/2041,"1,213,040","1,301,610","1,145,682"
FNMA POOL AH3526,4.50,2/1/2041,"43,083","47,230","41,845"
FNMA POOL AH3645,4.00,2/1/2041,"45,296","49,098","42,781"
FNMA POOL AH3853,4.50,7/1/2041,"26,976","28,509","26,173"
FNMA POOL AH3865,4.50,9/1/2041,"93,689","102,805","90,900"
FNMA POOL AH4471,4.00,2/1/2041,"463,270","505,487","437,545"
FNMA POOL AH4493,4.50,2/1/2041,"55,949","58,466","54,341"
FNMA POOL AH4546,4.50,2/1/2041,"335,097","367,195","325,124"
FNMA POOL AH4987,4.00,1/1/2041,"3,052","3,308","2,883"
FNMA POOL AH5457,4.50,6/1/2041,"244,335","268,045","237,079"
FNMA POOL AH5850,4.50,2/1/2041,"6,228,827","6,834,494","6,049,815"
FNMA POOL AH5980,4.50,3/1/2041,"36,218","39,298","35,140"
FNMA POOL AH6151,4.50,3/1/2041,"325,337","353,141","315,653"
FNMA POOL AH6169,4.50,2/1/2041,"265,679","291,175","258,044"
FNMA POOL AH6220,4.50,3/1/2041,"35,951","37,982","34,881"
FNMA POOL AH6275,4.50,4/1/2041,"704,273","689,925","683,311"
FNMA POOL AH6690,4.00,3/1/2041,646,693,609
FNMA POOL AH6910,4.50,4/1/2041,"81,542","86,155","79,115"
FNMA POOL AH6912,4.50,4/1/2041,"49,656","52,465","48,178"
FNMA POOL AH6932,4.50,4/1/2041,"46,240","48,857","44,893"
FNMA POOL AH7284,4.00,3/1/2041,"2,586,405","2,803,797","2,435,608"
FNMA POOL AH7549,4.50,3/1/2041,"390,517","428,139","378,894"
FNMA POOL AH7614,4.50,3/1/2041,"56,070","61,445","54,401"
FNMA POOL AH7620,4.50,5/1/2041,"37,786","41,437","36,661"
FNMA POOL AH7621,4.50,6/1/2041,"302,330","331,581","293,331"
FNMA POOL AH7628,4.50,7/1/2041,"376,625","413,174","365,415"
FNMA POOL AH7633,4.50,8/1/2041,"254,626","278,884","247,048"
FNMA POOL AH7642,4.50,10/1/2041,"626,109","687,090","607,473"
FNMA POOL AH7780,4.50,4/1/2041,"37,327","40,027","36,216"
FNMA POOL AH8040,5.00,4/1/2041,"51,846","54,169","51,478"
FNMA POOL AH8319,4.50,4/1/2041,"31,131","32,892","30,204"
FNMA POOL AH8382,4.50,3/1/2041,"12,184","12,873","11,821"
FNMA POOL AH8924,4.50,4/1/2041,"796,021","842,316","772,329"
FNMA POOL AH9388,4.50,3/1/2041,"1,432,817","1,570,190","1,390,170"
FNMA POOL AH9708,4.50,4/1/2041,"20,642","22,641","20,028"
FNMA POOL AH9719,4.50,4/1/2041,"3,013","3,304","2,924"
FNMA POOL AI0309,4.50,8/1/2041,"451,690","487,919","438,246"
FNMA POOL AI0788,4.50,6/1/2041,"81,636","89,500","79,206"
FNMA POOL AI0814,4.50,8/1/2041,"278,347","305,322","270,062"
FNMA POOL AI0818,4.00,9/1/2041,"759,063","820,707","714,806"
FNMA POOL AI0915,4.50,4/1/2041,"9,916","10,864","9,621"
FNMA POOL AI0964,4.50,4/1/2041,"98,967","104,567","96,022"
