0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
JPMBB COMMERCIAL MORTGAGE SECU,1.00,11/15/2047,"80,346,092","5,688,503","154,722"
JPMBB COMMERCIAL MORTGAGE SECU,1.00,8/15/2048,"111,184,456","7,545,978","720,035"
JPMBB COMMERCIAL MORTGAGE SECU,1.00,10/15/2048,"49,883,969","3,832,152","164,752"
JPMBB COMMERCIAL MORTGAGE SECU,1.00,12/15/2048,"61,334,085","4,532,650","554,471"
JPMBB COMMERCIAL MORTGAGE SECU,1.00,3/17/2049,"147,126,836","13,606,290","2,179,693"
JPMBB COMMERCIAL MORTGAGE SECU,3.80,8/15/2048,"37,547,528","38,370,778","36,726,483"
MASTR ALTERNATIVE LOANS TRUST,6.50,5/25/2033,"52,246","54,364","52,026"
ML CFC COMMERCIAL MORTGAGE TRU,1.00,8/12/2048,"1,580,959","45,632",62
MORGAN STANLEY BAML TRUST,1.00,10/15/2047,"28,395,434","1,637,417","12,237"
MORGAN STANLEY BAML TRUST,1.00,12/15/2047,"61,795,986","4,423,604","419,442"
MORGAN STANLEY BAML TRUST,1.00,2/15/2048,"75,832,631","7,566,322","262,181"
MORGAN STANLEY BAML TRUST,1.00,10/15/2048,"162,319,901","13,052,628","1,084,866"
MORGAN STANLEY BAML TRUST,1.00,5/15/2049,"50,293,438","5,796,490","920,718"
MORGAN STANLEY BAML TRUST,1.00,5/15/2050,"62,692,199","6,068,636","1,583,444"
MORGAN STANLEY BAML TRUST,2.86,9/15/2049,"4,580,000","4,957,130","4,310,054"
MORGAN STANLEY BAML TRUST,3.33,5/15/2049,"10,000,000","10,225,510","9,590,768"
MORGAN STANLEY CAPITAL I TRUST,1.00,3/15/2049,"64,410,736","5,453,180","802,048"
MORGAN STANLEY CAPITAL I TRUST,1.00,12/15/2050,"57,762,489","3,698,394","1,433,058"
MORGAN STANLEY CAPITAL I TRUST,1.00,7/15/2051,"77,693,103","4,891,224","1,913,151"
MORGAN STANLEY CAPITAL I TRUST,1.00,2/15/2053,"109,841,093","10,104,019","5,397,365"
MORGAN STANLEY CAPITAL I TRUST,1.00,5/15/2054,"72,843,546","7,204,569","4,207,636"
MORGAN STANLEY CAPITAL I TRUST,1.52,5/15/2054,"3,000,000","2,999,907","2,733,522"
MORGAN STANLEY CAPITAL I TRUST,2.78,8/15/2049,"1,290,000","1,385,180","1,209,320"
SG COMMERCIAL MORTGAGE SECURIT,1.00,10/10/2048,"55,016,258","5,996,381","1,280,284"
STRUCTURED ASSET SECURITIES CO,1.00,11/25/2032,"17,550","17,666","17,550"
UBS COMMERCIAL MORTGAGE TRUST,1.00,10/15/2050,"52,853,474","4,369,497","1,433,378"
UBS COMMERCIAL MORTGAGE TRUST,1.00,11/15/2050,"107,507,904","6,410,902","2,510,374"
UBS COMMERCIAL MORTGAGE TRUST,1.00,10/15/2052,"96,859,091","11,200,591","5,742,433"
UBS COMMERCIAL MORTGAGE TRUST,3.04,12/15/2052,"68,185,000","70,065,479","59,999,758"
VENDEE MORTGAGE TRUST,6.50,10/15/2029,"1,225,791","1,231,804","1,253,497"
WAMU COMMERCIAL MORTGAGE SECUR,1.00,12/27/2049,"2,958,937",962,9
WELLS FARGO COMMERCIAL MORTGAG,1.00,12/15/2047,"74,390,336","1,408,494","251,224"
WELLS FARGO COMMERCIAL MORTGAG,1.00,11/15/2048,"59,395,476","4,775,990","522,477"
WELLS FARGO COMMERCIAL MORTGAG,1.00,6/15/2049,"77,332,002","11,122,430","2,015,400"
WELLS FARGO COMMERCIAL MORTGAG,1.00,12/15/2050,"52,173,558","3,774,287","1,250,388"
WELLS FARGO COMMERCIAL MORTGAG,1.00,8/15/2051,"38,060,844","2,475,249","1,009,546"
WELLS FARGO COMMERCIAL MORTGAG,1.00,3/15/2052,"114,969,373","11,090,866","4,893,361"
WELLS FARGO COMMERCIAL MORTGAG,1.00,8/15/2052,"44,042,520","5,366,009","2,477,130"
WELLS FARGO COMMERCIAL MORTGAG,1.00,10/15/2052,"108,599,876","8,647,808","4,304,067"
WELLS FARGO COMMERCIAL MORTGAG,1.00,2/15/2053,"77,375,482","8,126,283","4,122,884"
WELLS FARGO COMMERCIAL MORTGAG,1.00,11/15/2054,"36,053,841","3,521,090","2,239,549"
WELLS FARGO COMMERCIAL MORTGAG,1.00,7/15/2058,"9,000,000","9,966,098","8,804,240"
WELLS FARGO COMMERCIAL MORTGAG,1.00,9/15/2058,"55,315,487","3,556,233","329,324"
WELLS FARGO COMMERCIAL MORTGAG,1.00,1/15/2059,"47,376,408","4,775,115","791,583"
WELLS FARGO COMMERCIAL MORTGAG,1.00,11/15/2059,"65,957,304","6,283,884","1,338,916"
WELLS FARGO COMMERCIAL MORTGAG,1.00,1/15/2060,"37,273,860","4,088,793","1,112,827"
WELLS FARGO COMMERCIAL MORTGAG,1.00,9/15/2061,"176,910,099","8,587,834","3,536,375"
WELLS FARGO COMMERCIAL MORTGAG,2.67,7/15/2048,"11,318,222","11,938,799","10,735,907"
WELLS FARGO COMMERCIAL MORTGAG,3.41,12/15/2047,"10,000,000","10,839,864","9,868,562"
