0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
GACI FIRST INVESTMENT,5.13,2/14/2053,"27,000,000","24,693,709","23,405,625"
GACI FIRST INVESTMENT,4.88,2/14/2035,"63,300,000","62,355,170","59,897,625"
GACI FIRST INVESTMENT,5.25,10/13/2032,"15,000,000","15,200,739","14,920,313"
GACI FIRST INVESTMENT,5.00,1/29/2029,"10,000,000","9,880,210","9,865,625"
GACI FIRST INVESTMENT,5.00,10/13/2027,"38,000,000","38,112,145","37,726,875"
GAP INC/THE,3.88,10/1/2031,"29,168,000","23,324,074","24,338,363"
GAP INC/THE,3.63,10/1/2029,"38,322,000","32,028,406","33,140,482"
GARDA WORLD SECURITY,6.00,6/1/2029,"24,470,000","21,983,207","22,333,035"
GARDA WORLD SECURITY,4.63,2/15/2027,"18,420,000","17,560,297","17,614,125"
GARDA WORLD SECURITY COR,9.50,11/1/2027,"17,570,000","17,592,061","17,674,366"
GARRETT MOTION HLD/SARL,7.75,5/31/2032,"8,750,000","8,817,792","8,885,800"
GATES CORPORATION/DE,6.88,7/1/2029,"13,794,000","13,929,373","14,043,396"
GCI LLC,4.75,10/15/2028,"16,421,000","14,874,932","14,997,135"
GE CAPITAL INTL FUNDING,4.42,11/15/2035,"58,500,000","58,807,613","53,964,495"
GE HEALTHCARE TECH INC,6.38,11/22/2052,"69,000,000","75,308,443","74,857,410"
GE HEALTHCARE TECH INC,5.91,11/22/2032,"27,000,000","28,173,239","27,862,650"
GEN DIGITAL INC,7.13,9/30/2030,"9,421,000","9,423,584","9,643,807"
GEN DIGITAL INC,6.75,9/30/2027,"17,525,000","17,516,524","17,729,692"
GEN DIGITAL INC,5.00,4/15/2025,"18,999,000","18,870,996","18,876,646"
GENERAL DYNAMICS CORP,4.25,4/1/2050,"3,226,000","3,469,009","2,717,002"
GENERAL DYNAMICS CORP,2.85,6/1/2041,"1,000,000","793,011","719,340"
GENERAL DYNAMICS CORP,4.25,4/1/2040,"1,500,000","1,398,407","1,315,605"
GENERAL MOTORS CO,5.95,4/1/2049,"3,000,000","2,821,741","2,909,730"
GENERAL MOTORS CO,5.40,4/1/2048,"12,500,000","10,975,127","11,195,750"
GENERAL MOTORS CO,5.20,4/1/2045,"25,600,000","28,795,195","22,462,720"
GENERAL MOTORS CO,5.15,4/1/2038,"34,188,000","37,727,571","31,437,575"
GENERAL MOTORS CO,6.60,4/1/2036,"15,250,000","19,654,289","15,978,035"
GENERAL MOTORS CO,5.60,10/15/2032,"5,000,000","4,899,023","5,001,000"
GENERAL MOTORS FINL CO,5.95,4/4/2034,"25,000,000","24,994,633","25,016,250"
GENERAL MOTORS FINL CO,6.10,1/7/2034,"10,000,000","9,985,088","10,109,800"
GENERAL MOTORS FINL CO,6.40,1/9/2033,"11,000,000","11,258,090","11,411,840"
GENERAL MOTORS FINL CO,5.60,6/18/2031,"52,500,000","52,439,639","52,156,125"
GENESEE + WYOMING INC,6.25,4/15/2032,"32,947,000","32,934,441","32,831,356"
GENESIS ENERGY LP/FIN,7.88,5/15/2032,"12,974,000","13,001,322","13,094,528"
GENESIS ENERGY LP/FIN,8.88,4/15/2030,"13,025,000","13,059,531","13,697,872"
GENESIS ENERGY LP/FIN,8.25,1/15/2029,"14,725,000","14,815,080","15,194,580"
GENESIS ENERGY LP/FIN,7.75,2/1/2028,"17,187,000","16,928,785","17,377,088"
GENESIS ENERGY LP/FIN,8.00,1/15/2027,"27,906,000","27,685,574","28,542,536"
GEORGIA POWER CO,3.25,3/15/2051,"1,250,000","1,235,036","848,363"
GEORGIA POWER CO,5.25,3/15/2034,"40,000,000","39,838,135","39,887,600"
GFL ENVIRONMENTAL INC,6.75,1/15/2031,"22,672,000","22,861,270","23,158,314"
GFL ENVIRONMENTAL INC,4.38,8/15/2029,"18,990,000","17,386,376","17,511,818"
GFL ENVIRONMENTAL INC,4.75,6/15/2029,"22,585,000","21,415,102","21,313,465"
GFL ENVIRONMENTAL INC,3.50,9/1/2028,"23,750,000","22,018,415","21,898,213"
GFL ENVIRONMENTAL INC,4.00,8/1/2028,"26,385,000","24,509,254","24,467,338"
GFL ENVIRONMENTAL INC,3.75,8/1/2025,"23,207,000","22,778,849","22,983,749"
GILEAD SCIENCES INC,5.55,10/15/2053,"24,590,000","24,554,535","24,545,738"
GILEAD SCIENCES INC,2.80,10/1/2050,"16,000,000","11,163,133","10,022,400"
GILEAD SCIENCES INC,4.15,3/1/2047,"24,750,000","25,907,598","20,116,553"
GILEAD SCIENCES INC,4.75,3/1/2046,"24,600,000","26,110,127","21,891,540"
GILEAD SCIENCES INC,4.50,2/1/2045,"4,450,000","4,639,243","3,843,688"
GILEAD SCIENCES INC,4.80,4/1/2044,"6,500,000","7,790,130","5,855,785"
GILEAD SCIENCES INC,5.65,12/1/2041,"14,651,000","17,152,601","14,725,281"
