0,1,2,3,4,5
,,Foreign Issued Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
FED REPUBLIC OF BRAZIL,6.13,1/22/2032,"1,591,000","1,567,328","1,550,411"
FED REPUBLIC OF BRAZIL,7.13,5/13/2054,"2,890,000","2,881,650","2,791,297"
FED REPUBLIC OF BRAZIL,8.25,1/20/2034,"380,000","421,043","433,522"
FIN DEPT GOVT SHARJAH,4.00,7/28/2050,"470,000","299,324","306,671"
FIN DEPT GOVT SHARJAH,6.13,3/6/2036,"340,000","339,219","337,608"
FIN DEPT GOVT SHARJAH,6.50,11/23/2032,"230,000","240,043","238,071"
GOVERNMENT OF JAMAICA,7.88,7/28/2045,"680,000","764,813","787,218"
GOVERNMENT OF JAMAICA,8.00,3/15/2039,"400,000","470,701","467,098"
HAZINE MUSTESARLIGI VARL,7.25,2/24/2027,"820,000","811,480","830,029"
HONDURAS GOVERNMENT,5.63,6/24/2030,"1,311,000","1,145,235","1,117,693"
HUNGARIAN DEVELOPMENT BA,6.50,6/29/2028,"820,000","827,002","833,858"
HUNGARY,2.13,9/22/2031,"1,010,000","792,308","799,163"
HUNGARY,3.13,9/21/2051,"3,730,000","2,072,270","2,357,983"
HUNGARY,5.25,6/16/2029,"3,390,000","3,313,438","3,326,454"
HUNGARY,5.38,9/12/2033,"1,871,000","2,102,989","2,084,853"
HUNGARY,5.50,3/26/2036,"1,244,000","1,220,897","1,194,395"
HUNGARY,5.50,6/16/2034,"270,000","255,345","261,765"
HUNGARY,6.25,9/22/2032,"220,000","220,754","226,820"
HUNGARY,7.63,3/29/2041,"1,170,000","1,247,197","1,330,830"
ITALY GOV T INT BOND,3.88,5/6/2051,"900,000","624,697","628,752"
ITALY GOV T INT BOND,4.00,10/17/2049,"536,000","382,266","391,920"
IVORY COAST,5.88,10/17/2031,"2,512,000","2,469,094","2,424,629"
IVORY COAST,6.38,3/3/2028,"1,800,000","1,717,578","1,744,200"
IVORY COAST,7.63,1/30/2033,"550,000","543,675","533,500"
IVORY COAST,8.25,1/30/2037,"1,048,000","1,037,020","1,013,090"
KINGDOM OF BAHRAIN,5.45,9/16/2032,"1,200,000","1,079,967","1,103,621"
KINGDOM OF BAHRAIN,6.25,1/25/2051,"450,000","378,944","373,624"
KINGDOM OF BAHRAIN,7.38,5/14/2030,"1,550,000","1,580,807","1,612,124"
KINGDOM OF BAHRAIN,7.50,2/12/2036,"1,270,000","1,279,361","1,295,400"
KINGDOM OF JORDAN,4.95,7/7/2025,"1,200,000","1,181,504","1,167,024"
KINGDOM OF JORDAN,7.38,10/10/2047,"310,000","249,273","263,437"
KINGDOM OF JORDAN,7.50,1/13/2029,"860,000","862,586","841,768"
KINGDOM OF MOROCCO,2.38,12/15/2027,"1,670,000","1,494,582","1,488,204"
KINGDOM OF MOROCCO,4.00,12/15/2050,"220,000","152,256","150,960"
KINGDOM OF MOROCCO,5.95,3/8/2028,"1,000,000","997,005","1,002,371"
KINGDOM OF MOROCCO,6.50,9/8/2033,"470,000","461,844","484,100"
KSA SUKUK LTD,2.25,5/17/2031,"590,000","502,292","495,049"
KSA SUKUK LTD,4.30,1/19/2029,"2,100,000","2,041,403","2,039,016"
KSA SUKUK LTD,4.51,5/22/2033,"1,650,000","1,598,071","1,580,783"
KUWAIT INTL BOND,3.50,3/20/2027,"1,440,000","1,394,249","1,383,264"
MAGYAR EXPORT IMPORT BAN,6.00,5/16/2029,"2,067,000","2,369,934","2,326,074"
MAGYAR EXPORT IMPORT BAN,6.13,12/4/2027,"940,000","940,199","942,844"
MALAYSIA SOVEREIGN SUKUK,3.04,4/22/2025,"830,000","816,216","814,985"
MALAYSIA SOVEREIGN SUKUK,4.24,4/22/2045,"730,000","659,128","655,813"
MONGOLIA INTL BOND,8.65,1/19/2028,"390,000","389,458","407,596"
OMAN GOV INTERNTL BOND,4.75,6/15/2026,"1,000,000","976,429","982,250"
OMAN GOV INTERNTL BOND,5.38,3/8/2027,"640,000","629,751","636,000"
OMAN GOV INTERNTL BOND,6.25,1/25/2031,"900,000","910,551","925,875"
OMAN GOV INTERNTL BOND,6.50,3/8/2047,"3,391,000","3,149,227","3,382,523"
