0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
CANADIAN NATL RAILWAY,3.65,2/3/2048,"113,000","87,220","87,039"
CANADIAN NATL RAILWAY,3.20,8/2/2046,"87,000","62,025","62,710"
CANADIAN NATL RAILWAY,6.38,11/15/2037,"35,000","37,452","38,352"
CANADIAN NATL RAILWAY,6.20,6/1/2036,"37,000","39,457","40,123"
CANADIAN NATL RAILWAY,6.25,8/1/2034,"37,000","39,380","40,248"
CANADIAN NATL RESOURCES,4.95,6/1/2047,"134,000","114,306","116,489"
CANADIAN NATL RESOURCES,6.75,2/1/2039,"335,000","339,698","355,137"
CANADIAN NATL RESOURCES,6.25,3/15/2038,"1,074,000","1,094,646","1,100,571"
CANADIAN NATL RESOURCES,6.50,2/15/2037,"400,000","399,102","414,528"
CANADIAN NATL RESOURCES,5.85,2/1/2035,"37,000","35,575","36,673"
CANADIAN PACIFIC RAILWAY,6.13,9/15/2115,"114,000","114,688","116,082"
CANADIAN PACIFIC RAILWAY,4.20,11/15/2069,"248,000","187,372","188,597"
CANADIAN PACIFIC RAILWAY,3.10,12/2/2051,"133,000","88,984","88,375"
CANADIAN PACIFIC RAILWAY,4.70,5/1/2048,"273,000","234,408","236,694"
CANADIAN PACIFIC RAILWAY,4.95,8/15/2045,"87,000","78,151","79,346"
CANADIAN PACIFIC RAILWAY,4.80,8/1/2045,"45,000","39,628","40,458"
CANADIAN PACIFIC RAILWAY,4.30,5/15/2043,"173,000","144,685","147,457"
CANADIAN PACIFIC RAILWAY,3.00,12/2/2041,"827,000","673,707","714,677"
CANADIAN PACIFIC RAILWAY,5.95,5/15/2037,"36,000","36,680","37,237"
CANADIAN PACIFIC RAILWAY,4.80,9/15/2035,"41,000","39,068","38,922"
CAPSTONE BORROWER INC,8.00,6/15/2030,"173,000","171,376","178,821"
CARDINAL HEALTH INC,4.37,6/15/2047,"802,000","634,746","646,645"
CARDINAL HEALTH INC,4.90,9/15/2045,"1,000,000","826,411","877,160"
CARDINAL HEALTH INC,4.50,11/15/2044,"45,000","35,710","37,442"
CARDINAL HEALTH INC,4.60,3/15/2043,"16,000","12,924","13,578"
CARNIVAL CORP,10.50,6/1/2030,"1,047,000","1,099,452","1,136,927"
CARNIVAL CORP,4.00,8/1/2028,"134,000","121,844","125,683"
CARNIVAL CORP,5.75,3/1/2027,"676,000","647,470","668,354"
CARNIVAL HLDGS BM LTD,10.38,5/1/2028,"1,500,000","1,604,827","1,624,395"
CARNIVAL PLC,7.88,6/1/2027,"1,421,000","1,446,030","1,493,926"
CARPENTER TECHNOLOGY,6.38,7/15/2028,"117,000","111,491","116,780"
CARRIER GLOBAL CORP,6.20,3/15/2054,"325,000","324,474","348,680"
CARRIER GLOBAL CORP,3.58,4/5/2050,"850,000","608,075","617,296"
CASE WESTERN RESERVE UNI,5.41,6/1/2122,"116,000","106,478","110,158"
CATHOLIC HEALTH SERVICES,3.37,7/1/2050,"250,000","161,121","171,463"
CCO HLDGS LLC/CAP CORP,4.25,1/15/2034,"1,501,000","1,138,679","1,138,584"
CCO HLDGS LLC/CAP CORP,4.50,6/1/2033,"692,000","547,510","544,362"
CCO HLDGS LLC/CAP CORP,4.50,5/1/2032,"270,000","218,606","217,744"
CCO HLDGS LLC/CAP CORP,4.75,2/1/2032,"565,000","468,243","462,690"
CCO HLDGS LLC/CAP CORP,7.38,3/1/2031,"4,784,000","4,749,479","4,722,286"
CCO HLDGS LLC/CAP CORP,4.25,2/1/2031,"222,000","182,170","181,201"
CCO HLDGS LLC/CAP CORP,4.50,8/15/2030,"286,000","240,857","241,844"
CCO HLDGS LLC/CAP CORP,4.75,3/1/2030,"385,000","332,769","333,472"
CCO HLDGS LLC/CAP CORP,6.38,9/1/2029,"492,000","463,857","466,642"
CCO HLDGS LLC/CAP CORP,5.38,6/1/2029,"616,000","562,902","560,332"
CCO HLDGS LLC/CAP CORP,5.00,2/1/2028,"281,000","261,080","262,755"
CCO HLDGS LLC/CAP CORP,5.13,5/1/2027,"366,000","346,408","351,261"
CENCORA INC,4.30,12/15/2047,"2,600,000","2,124,142","2,147,132"
CENCORA INC,4.25,3/1/2045,"27,000","21,568","22,651"
CENTERPOINT ENER HOUSTON,5.30,4/1/2053,"768,000","735,313","735,168"
CENTERPOINT ENER HOUSTON,3.95,3/1/2048,"227,000","179,041","177,759"
CENTERPOINT ENER HOUSTON,4.50,4/1/2044,"217,000","185,268","188,421"
CENTERPOINT ENER HOUSTON,3.55,8/1/2042,"26,000","19,741","20,088"
