0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
GOODYEAR TIRE + RUBBER,5.00,7/15/2029,"293,000","263,181","272,007"
GRAHAM PACKAGING/GPC CAP,7.13,8/15/2028,"781,000","716,354","737,850"
GRAN TIERRA ENERGY INC,9.50,10/15/2029,"1,020,000","895,617","975,793"
GRAPHIC PACKAGING INTERN,3.50,3/15/2028,"132,000","119,774","121,728"
GRAPHIC PACKAGING INTERN,4.13,8/15/2024,"42,000","41,895","41,896"
GREAT LAKES DREDGE+DOCK,5.25,6/1/2029,"336,000","281,774","299,242"
GREENFIRE RESOURCES LTD,12.00,10/1/2028,"541,000","574,768","577,393"
GRIFOLS SA,4.75,10/15/2028,"1,084,000","942,093","934,896"
GRUBHUB HOLDINGS INC,5.50,7/1/2027,"1,570,000","1,369,049","1,423,959"
GRUPO TELEVISA SAB,5.25,5/24/2049,"347,000","297,296","299,756"
GULFPORT ENERGY OP CORP,8.00,5/17/2026,"303,000","305,405","306,642"
HACKENSACK MERIDIAN HLTH,4.50,7/1/2057,"44,000","36,846","37,891"
HACKENSACK MERIDIAN HLTH,2.88,9/1/2050,"347,000","222,817","227,049"
HACKENSACK MERIDIAN HLTH,4.21,7/1/2048,"42,000","34,790","35,524"
HACKENSACK MERIDIAN HLTH,2.68,9/1/2041,"347,000","237,486","243,198"
HARBOUR ENERGY PLC,5.50,10/15/2026,"585,000","576,338","573,622"
HARTFORD FINL SVCS GRP,2.90,9/15/2051,"132,000","86,652","82,848"
HAT HOLDINGS I LLC/HAT,3.38,6/15/2026,"122,000","113,292","115,140"
HAWAIIAN BRAND INTELLECT,5.75,1/20/2026,"467,571","443,187","444,814"
HCA INC,6.10,4/1/2064,"1,385,000","1,376,641","1,354,170"
HCA INC,6.00,4/1/2054,"870,000","865,039","858,281"
HCA INC,5.90,6/1/2053,"4,824,000","4,840,347","4,696,164"
HCA INC,4.63,3/15/2052,"3,150,000","2,648,334","2,543,720"
HCA INC,3.50,7/15/2051,"2,000,000","1,313,448","1,337,120"
HCA INC,5.25,6/15/2049,"607,000","519,300","540,716"
HCA INC,5.50,6/15/2047,"832,000","795,415","767,953"
HCA INC,5.13,6/15/2039,"1,065,000","1,004,034","985,700"
HELIX ENERGY SOLUTIONS,9.75,3/1/2029,"294,000","306,664","313,413"
HERITAGE PETROL CO LTD,9.00,8/12/2029,"290,000","300,667","303,207"
HERSHEY COMPANY,2.65,6/1/2050,"208,000","131,437","129,688"
HERSHEY COMPANY,3.38,8/15/2046,"45,000","32,844","33,152"
HESS CORP,5.80,4/1/2047,"1,739,000","1,641,432","1,760,616"
HESS CORP,5.60,2/15/2041,"1,214,000","1,123,482","1,211,281"
HESS CORP,6.00,1/15/2040,"69,000","66,631","71,300"
HESS MIDSTREAM OPERATION,4.25,2/15/2030,"134,000","119,952","123,033"
HILCORP ENERGY I/HILCORP,8.38,11/1/2033,"190,000","190,000","202,449"
HILCORP ENERGY I/HILCORP,6.00,2/1/2031,"531,000","490,150","507,482"
HILCORP ENERGY I/HILCORP,6.00,4/15/2030,"700,000","661,242","675,885"
HILCORP ENERGY I/HILCORP,6.25,11/1/2028,"700,000","676,652","691,173"
HILTON DOMESTIC OPERATIN,3.63,2/15/2032,"308,000","260,118","266,691"
HILTON GRAND VAC BOR ESC,6.63,1/15/2032,"130,000","130,000","130,592"
HILTON GRAND VAC BOR ESC,4.88,7/1/2031,"795,000","695,045","702,852"
HILTON GRAND VAC BOR ESC,5.00,6/1/2029,"1,008,000","917,754","939,970"
HOAG MEMORIAL HOSPITAL,3.80,7/15/2052,"173,000","131,464","135,308"
HOLOGIC INC,3.25,2/15/2029,"943,000","832,581","846,173"
HOME DEPOT INC,5.40,6/25/2064,"466,000","460,696","454,741"
HOME DEPOT INC,3.50,9/15/2056,"100,000","71,530","70,934"
HOME DEPOT INC,5.30,6/25/2054,"550,000","541,397","537,658"
HOME DEPOT INC,4.95,9/15/2052,"100,000","93,181","92,501"
HOME DEPOT INC,3.63,4/15/2052,"5,800,000","4,439,897","4,291,188"
HOME DEPOT INC,2.75,9/15/2051,"100,000","63,348","62,273"
HOME DEPOT INC,2.38,3/15/2051,"1,669,000","977,669","958,089"
HOME DEPOT INC,3.35,4/15/2050,"200,000","143,651","142,204"
