0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
REPUBLIC OF INDONESIA,8.50,10/12/2035,"40,400,000","50,462,072","51,009,444"
REPUBLIC OF INDONESIA,4.85,1/11/2033,"46,250,000","45,985,210","45,194,922"
REPUBLIC OF INDONESIA,4.65,9/20/2032,"30,000,000","29,586,828","28,903,125"
REPUBLIC OF INDONESIA,3.55,3/31/2032,"37,400,000","34,620,420","33,523,864"
REPUBLIC OF INDONESIA,2.15,7/28/2031,"31,200,000","26,929,006","25,671,750"
REPUBLIC OF INDONESIA,1.85,3/12/2031,"11,000,000","9,298,005","8,965,000"
REPUBLIC OF INDONESIA,3.85,10/15/2030,"16,200,000","15,483,360","15,066,000"
REPUBLIC OF INDONESIA,2.85,2/14/2030,"6,500,000","5,968,519","5,752,220"
REPUBLIC OF INDONESIA,4.75,2/11/2029,"11,000,000","11,027,594","10,827,651"
REPUBLIC OF INDONESIA,4.10,4/24/2028,"9,600,000","9,468,787","9,218,586"
REPUBLIC OF INDONESIA,3.50,1/11/2028,"20,900,000","20,195,007","19,750,500"
REPUBLIC OF INDONESIA,4.55,1/11/2028,"35,000,000","34,849,481","34,200,054"
REPUBLIC OF INDONESIA,4.15,9/20/2027,"7,700,000","7,598,019","7,466,594"
REPUBLIC OF INDONESIA,4.35,1/8/2027,"27,700,000","27,358,590","27,154,656"
REPUBLIC OF INDONESIA,4.75,1/8/2026,"16,900,000","16,920,670","16,762,688"
REPUBLIC OF KAZAKHSTAN,6.50,7/21/2045,"59,900,000","62,645,840","69,109,625"
REPUBLIC OF KAZAKHSTAN,4.88,10/14/2044,"30,000,000","27,221,250","29,137,500"
REPUBLIC OF KENYA,8.25,2/28/2048,"36,000,000","28,794,751","27,914,760"
REPUBLIC OF KENYA,6.30,1/23/2034,"15,000,000","12,011,850","11,198,438"
REPUBLIC OF KENYA,8.00,5/22/2032,"65,600,000","58,647,154","56,678,400"
REPUBLIC OF KENYA,9.75,2/16/2031,"100,300,000","98,007,120","95,535,750"
REPUBLIC OF KENYA,7.25,2/28/2028,"32,600,000","29,644,637","29,594,688"
REPUBLIC OF KENYA,7.00,5/22/2027,"48,800,000","45,162,079","46,421,000"
REPUBLIC OF LATVIA,5.13,7/30/2034,"53,600,000","53,065,963","52,854,424"
REPUBLIC OF MONTENEGRO,7.25,3/12/2031,"9,000,000","9,007,945","9,033,750"
REPUBLIC OF NIGERIA,8.25,9/28/2051,"36,404,000","24,946,027","27,940,070"
REPUBLIC OF NIGERIA,9.25,1/21/2049,"8,300,000","6,228,175","7,259,906"
REPUBLIC OF NIGERIA,7.63,11/28/2047,"33,700,000","23,374,547","24,516,750"
REPUBLIC OF NIGERIA,7.70,2/23/2038,"51,200,000","37,633,331","39,632,000"
REPUBLIC OF NIGERIA,7.38,9/28/2033,"58,900,000","44,716,444","48,132,344"
REPUBLIC OF NIGERIA,7.88,2/16/2032,"122,400,000","100,234,239","105,876,000"
REPUBLIC OF NIGERIA,8.75,1/21/2031,"44,050,000","38,367,576","40,801,313"
REPUBLIC OF NIGERIA,7.14,2/23/2030,"57,900,000","48,093,842","50,210,156"
REPUBLIC OF NIGERIA,8.38,3/24/2029,"100,300,000","88,261,228","94,031,250"
REPUBLIC OF NIGERIA,6.13,9/28/2028,"60,700,000","51,274,574","53,226,313"
REPUBLIC OF NIGERIA,6.50,11/28/2027,"68,200,000","60,691,489","63,106,313"
REPUBLIC OF PANAMA,4.50,1/19/2063,"44,100,000","32,567,821","28,179,900"
REPUBLIC OF PANAMA,3.87,7/23/2060,"22,500,000","15,098,338","12,817,969"
REPUBLIC OF PANAMA,7.88,3/1/2057,"29,400,000","28,484,768","30,557,625"
REPUBLIC OF PANAMA,4.50,4/1/2056,"83,900,000","61,648,446","54,367,200"
REPUBLIC OF PANAMA,6.85,3/28/2054,"73,700,000","68,819,528","67,656,600"
REPUBLIC OF PANAMA,4.30,4/29/2053,"41,100,000","29,979,002","26,345,100"
REPUBLIC OF PANAMA,4.50,4/16/2050,"58,650,000","44,990,270","39,515,438"
REPUBLIC OF PANAMA,4.50,5/15/2047,"22,500,000","17,749,184","15,567,188"
REPUBLIC OF PANAMA,8.00,3/1/2038,"38,100,000","38,314,423","40,157,400"
REPUBLIC OF PANAMA,6.88,1/31/2036,"37,000,000","36,588,624","36,202,188"
REPUBLIC OF PANAMA,6.70,1/26/2036,"100,300,000","105,728,963","97,761,156"
REPUBLIC OF PANAMA,6.40,2/14/2035,"98,100,000","101,130,202","92,998,800"
REPUBLIC OF PANAMA,3.30,1/19/2033,"16,500,000","14,002,307","12,837,000"
