0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
NEXTERA ENERGY CAPITAL,3.00,1/15/2052,"173,000","108,175","109,407"
NEXTERA ENERGY OPERATING,4.50,9/15/2027,"631,000","593,638","596,005"
NGL ENRGY OP/FIN CORP,8.38,2/15/2032,"753,000","756,720","764,400"
NGL ENRGY OP/FIN CORP,8.13,2/15/2029,"559,000","560,954","570,051"
NGPL PIPECO LLC,7.77,12/15/2037,"2,488,000","2,585,159","2,851,696"
NISOURCE INC,5.00,6/15/2052,"865,000","778,825","764,755"
NISOURCE INC,3.95,3/30/2048,"46,000","34,700","34,444"
NISOURCE INC,4.38,5/15/2047,"263,000","212,081","211,284"
NISOURCE INC,5.65,2/1/2045,"551,000","519,098","532,365"
NISOURCE INC,5.25,2/15/2043,"44,000","40,188","40,389"
NISOURCE INC,5.95,6/15/2041,"466,000","473,958","466,913"
NNN REIT INC,3.50,4/15/2051,"1,893,000","1,265,784","1,316,051"
NOBLE FINANCE II LLC,8.00,4/15/2030,"529,000","536,828","549,737"
NOGAHOLDING SUKUK,5.25,4/8/2029,"260,000","249,800","250,037"
NOKIA OYJ,6.63,5/15/2039,"1,890,000","1,840,456","1,885,672"
NORDSTROM INC,5.00,1/15/2044,"3,599,000","2,588,115","2,912,347"
NORDSTROM INC,4.38,4/1/2030,"215,000","172,722","195,317"
NORFOLK SOUTHERN CORP,4.10,5/15/2121,"173,000","118,167","122,121"
NORFOLK SOUTHERN CORP,5.95,3/15/2064,"458,000","491,531","467,137"
NORFOLK SOUTHERN CORP,4.55,6/1/2053,"3,197,000","2,703,666","2,678,862"
NORFOLK SOUTHERN CORP,4.84,10/1/2041,"761,000","717,688","694,374"
NORTHEASTERN UNIVERSITY,2.89,10/1/2050,"232,000","151,726","157,127"
NORTHERN OIL + GAS INC,8.75,6/15/2031,"1,071,000","1,118,277","1,124,421"
NORTHERN OIL + GAS INC,8.13,3/1/2028,"1,584,000","1,612,183","1,602,121"
NORTHERN STATES PWR MINN,5.40,3/15/2054,"320,000","314,398","309,194"
NORTHERN STATES PWR MINN,5.10,5/15/2053,"22,000","20,059","20,304"
NORTHERN STATES PWR MINN,3.20,4/1/2052,"85,000","57,120","56,567"
NORTHERN STATES PWR MINN,3.60,9/15/2047,"230,000","171,007","167,376"
NORTHERN STATES PWR MINN,3.60,5/15/2046,"26,000","19,322","19,243"
NORTHERN STATES PWR MINN,4.00,8/15/2045,"308,000","242,154","243,677"
NORTHERN STATES PWR MINN,4.13,5/15/2044,"101,000","82,212","82,219"
NORTHERN STATES PWR MINN,3.40,8/15/2042,"44,000","33,211","33,248"
NORTHERN STATES PWR MINN,4.85,8/15/2040,"671,000","621,086","607,295"
NORTHERN STATES PWR MINN,5.35,11/1/2039,"515,000","515,815","504,602"
NORTHERN STATES PWR MINN,6.20,7/1/2037,"44,000","45,792","47,077"
NORTHERN STATES PWR MINN,6.25,6/1/2036,"59,000","61,956","63,043"
NORTHERN STATES PWR WISC,5.65,6/15/2054,"240,000","239,125","239,590"
NORTHROP GRUMMAN CORP,5.25,5/1/2050,"1,844,000","1,670,861","1,748,813"
NORTHROP GRUMMAN CORP,5.15,5/1/2040,"920,000","912,041","879,879"
NORTHWELL HEALTHCARE INC,3.81,11/1/2049,"347,000","251,580","258,001"
NORTHWELL HEALTHCARE INC,4.26,11/1/2047,"80,000","62,468","64,612"
NORTHWELL HEALTHCARE INC,3.98,11/1/2046,"65,000","49,030","50,309"
NORTHWEST PIPELINE LLC,4.00,4/1/2027,"1,491,000","1,445,526","1,444,600"
NORTHWESTERN UNIVERSITY,3.66,12/1/2057,"53,000","40,791","40,208"
NORTHWESTERN UNIVERSITY,4.64,12/1/2044,"1,044,000","973,215","988,668"
NOVA CHEMICALS CORP,9.00,2/15/2030,"475,000","475,000","501,971"
NOVANT HEALTH INC,3.32,11/1/2061,"250,000","163,947","165,028"
NOVANT HEALTH INC,3.17,11/1/2051,"201,000","137,089","135,261"
NOVANT HEALTH INC,2.64,11/1/2036,"130,000","98,124","98,281"
NOVELIS CORP,4.75,1/30/2030,"582,000","527,457","539,881"
NRG ENERGY INC,7.00,3/15/2033,"1,350,000","1,404,864","1,423,670"
NRG ENERGY INC,3.88,2/15/2032,"1,209,000","1,019,851","1,039,559"
NRG ENERGY INC,3.63,2/15/2031,"218,000","174,326","187,033"
