0,1,2,3,4,5
,,Mortgage-Backed Securities,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
FNMA POOL CA6029,2.50,6/1/2050,"18,406,023","14,587,917","15,422,013"
FNMA POOL CA6086,3.00,6/1/2050,"2,945,128","2,573,722","2,536,984"
FNMA POOL CA6347,2.50,7/1/2050,"540,651","428,985","448,277"
FNMA POOL CA6590,2.50,8/1/2050,"20,556,397","17,314,441","17,238,740"
FNMA POOL CA6673,2.50,7/1/2050,"4,403,774","3,566,903","3,631,465"
FNMA POOL CA6729,3.00,8/1/2050,"142,629,615","154,400,174","123,978,940"
FNMA POOL CA7024,2.50,9/1/2050,"152,493,647","128,442,937","127,835,151"
FNMA POOL CA7230,2.50,10/1/2050,"117,377,695","123,226,389","97,453,204"
FNMA POOL CA7293,2.50,10/1/2050,"118,426,784","124,724,933","98,504,598"
FNMA POOL CA7294,2.50,10/1/2050,"108,691,738","114,144,826","90,241,661"
FNMA POOL CA7589,1.50,11/1/2050,"29,369,715","21,079,175","22,056,765"
FNMA POOL CA8009,1.50,12/1/2050,"28,971,732","21,312,852","21,685,248"
FNMA POOL CA8248,1.50,12/1/2045,"1,094,004","815,071","817,578"
FNMA POOL CA8487,2.50,12/1/2050,"66,754,049","69,991,051","55,245,596"
FNMA POOL CA8933,2.00,2/1/2051,"3,533,989","2,699,277","2,802,203"
FNMA POOL CB0435,2.00,5/1/2051,"157,283,331","159,021,692","124,528,723"
FNMA POOL CB0440,2.50,5/1/2051,"15,528,083","12,318,279","12,829,399"
FNMA POOL CB0511,2.50,5/1/2051,"12,375,250","9,933,678","10,229,316"
FNMA POOL CB0581,2.00,5/1/2051,"203,163,965","205,231,772","160,854,612"
FNMA POOL CB0711,1.50,6/1/2051,"819,714","598,215","618,633"
FNMA POOL CB1107,2.00,7/1/2046,"106,939,622","108,551,971","83,992,242"
FNMA POOL CB1620,2.00,9/1/2051,"2,554,002","2,456,136","2,007,615"
FNMA POOL CB1626,2.50,9/1/2051,"325,995,885","337,518,992","267,889,319"
FNMA POOL CB1787,2.00,10/1/2051,"22,032","21,188","17,313"
FNMA POOL CB2282,2.00,12/1/2051,"128,411,459","127,957,109","101,425,874"
FNMA POOL CB2318,2.00,12/1/2051,"215,005,566","215,389,778","169,822,286"
FNMA POOL CB2352,2.00,12/1/2051,"235,228,528","235,648,879","185,795,406"
FNMA POOL CB2562,2.00,1/1/2042,"23,433,005","22,981,685","19,726,494"
FNMA POOL CB2629,2.50,1/1/2052,"207,165,525","206,703,703","170,896,201"
FNMA POOL CB2805,2.50,2/1/2052,"213,013,447","213,427,135","175,782,101"
FNMA POOL CB2806,2.50,2/1/2052,"212,145,397","212,297,991","174,938,597"
FNMA POOL CB2860,2.50,2/1/2052,"212,563,635","212,701,240","175,283,483"
FNMA POOL CB3091,2.00,3/1/2052,"124,387,941","120,552,414","97,978,488"
FNMA POOL CB5661,7.00,2/1/2053,"17,893,000","18,440,030","18,531,544"
FNMA POOL CB6931,6.50,8/1/2053,"32,638,667","33,911,065","33,759,043"
FNMA POOL CB7351,6.50,10/1/2053,"19,283,391","19,732,915","19,714,137"
FNMA POOL CB7399,6.50,9/1/2053,"18,622,561","19,060,886","18,945,292"
FNMA POOL CB7428,6.50,11/1/2053,"51,854,047","51,764,821","53,646,966"
FNMA POOL CB7429,7.00,11/1/2053,"45,541,174","47,210,498","47,166,920"
FNMA POOL CB7445,6.50,11/1/2053,"48,322,415","48,189,377","49,700,533"
FNMA POOL CB7446,6.50,11/1/2053,"71,814,019","71,457,034","73,744,667"
FNMA POOL CB7486,6.50,10/1/2053,"5,177,204","5,458,714","5,387,807"
FNMA POOL CB7570,7.00,11/1/2053,"23,238,701","23,949,193","24,068,285"
FNMA POOL CB7637,7.50,12/1/2053,"42,194,478","43,781,693","43,722,824"
FNMA POOL CB7657,7.00,12/1/2053,"18,425,463","19,410,363","19,381,331"
FNMA POOL CB8031,7.00,2/1/2054,"51,901,495","54,052,972","54,216,783"
FNMA POOL CB8032,7.00,2/1/2054,"39,594,243","41,171,826","41,186,892"
FNMA POOL CB8040,7.00,2/1/2054,"89,426,114","92,282,430","92,618,481"
FNMA POOL CB8042,7.00,2/1/2054,"30,758,004","32,185,258","32,201,864"
