0,1,2,3,4,5
,,Mortgage-Backed Securities,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
FED HM LN PC POOL QC0400,3.00,4/1/2051,"1,529,958","1,314,692","1,332,917"
FED HM LN PC POOL QC1643,2.50,4/1/2051,"956,039","990,493","791,323"
FED HM LN PC POOL QC1698,2.50,3/1/2051,"962,320","996,989","792,282"
FED HM LN PC POOL QC1899,1.50,5/1/2046,"18,448,242","18,247,224","13,774,852"
FED HM LN PC POOL QC2170,1.50,5/1/2051,"3,644,317","3,591,675","2,729,079"
FED HM LN PC POOL QC3134,1.50,6/1/2051,"939,770","687,291","711,416"
FED HM LN PC POOL QC3135,1.50,6/1/2051,"839,302","613,815","635,449"
FED HM LN PC POOL QC5537,2.50,8/1/2051,"26,481,466","27,392,864","21,731,000"
FED HM LN PC POOL QC6342,2.50,9/1/2051,"9,120,268","9,440,707","7,527,484"
FED HM LN PC POOL QC7270,2.50,9/1/2051,"19,218,485","19,889,640","15,764,965"
FED HM LN PC POOL QC9224,2.00,10/1/2051,"2,739,930","2,634,914","2,164,289"
FED HM LN PC POOL QD2068,2.00,12/1/2051,"91,567,611","91,227,260","72,324,737"
FED HM LN PC POOL QD6061,2.00,1/1/2052,"28,185,344","27,596,505","22,301,122"
FED HM LN PC POOL QD6064,2.00,2/1/2052,"11,209,128","10,971,672","8,850,499"
FED HM LN PC POOL QD6081,3.00,2/1/2052,"17,061,284","17,431,289","14,570,588"
FED HM LN PC POOL QD6091,3.00,1/1/2052,"15,911,795","16,273,920","13,650,194"
FED HM LN PC POOL QD8418,2.00,3/1/2052,"362,568","350,342","288,106"
FED HM LN PC POOL QD9168,2.50,3/1/2052,"19,695,063","16,352,610","16,210,101"
FED HM LN PC POOL QD9315,2.50,4/1/2052,"1,623,829","1,329,222","1,343,778"
FED HM LN PC POOL QE1164,2.50,4/1/2052,"989,678","810,123","821,515"
FED HM LN PC POOL QF2437,5.50,10/1/2052,"12,926,546","13,097,977","12,892,818"
FED HM LN PC POOL QF6185,5.00,1/1/2053,"15,646,637","15,622,152","15,143,298"
FED HM LN PC POOL QF8175,7.00,2/1/2053,"735,663","768,741","767,336"
FED HM LN PC POOL QG0464,6.00,4/1/2053,"9,572,205","9,734,508","9,596,388"
FED HM LN PC POOL QG0779,6.00,4/1/2053,"19,611,197","19,766,277","19,659,967"
FED HM LN PC POOL QH2129,6.50,10/1/2053,"10,359,488","10,551,203","10,723,887"
FED HM LN PC POOL QH2149,6.50,10/1/2053,"18,911,571","19,185,221","19,514,421"
FED HM LN PC POOL QH2154,5.50,9/1/2053,"48,561,241","46,945,195","47,877,202"
FED HM LN PC POOL QH2158,6.50,10/1/2053,"25,788,496","26,177,366","26,702,325"
FED HM LN PC POOL QH3158,6.50,10/1/2053,"5,256,207","5,396,471","5,442,463"
FED HM LN PC POOL QH4110,7.00,11/1/2053,"2,173,172","2,270,905","2,259,432"
FED HM LN PC POOL QH4128,7.00,11/1/2053,"9,676,101","9,939,418","10,020,173"
FED HM LN PC POOL QH4135,7.00,11/1/2053,"9,415,754","9,757,871","9,801,759"
FED HM LN PC POOL QH4147,6.50,11/1/2053,"24,224,696","24,871,178","24,823,840"
FED HM LN PC POOL QH4968,7.00,11/1/2053,"1,327,836","1,387,552","1,387,070"
FED HM LN PC POOL QH5964,7.00,11/1/2053,"6,995,345","7,223,746","7,245,067"
FED HM LN PC POOL QH5965,6.50,12/1/2053,"30,760,084","31,373,032","31,424,583"
FED HM LN PC POOL QH6342,7.00,12/1/2053,"4,713,476","4,925,457","4,914,789"
FED HM LN PC POOL QH6348,7.00,12/1/2053,"4,726,915","4,939,501","4,928,802"
FED HM LN PC POOL QH7320,7.00,12/1/2053,"1,158,254","1,210,344","1,207,723"
FED HM LN PC POOL QH7444,7.00,1/1/2054,"3,424,279","3,578,284","3,559,855"
FED HM LN PC POOL QH7652,7.00,1/1/2054,"11,252,423","11,987,915","11,904,814"
FED HM LN PC POOL QH7676,7.00,1/1/2054,"9,385,038","9,721,252","9,720,069"
FED HM LN PC POOL QH7677,7.00,1/1/2054,"18,196,844","19,226,725","19,135,171"
FED HM LN PC POOL QH7761,7.00,1/1/2054,"18,967,701","19,820,763","19,777,814"
FED HM LN PC POOL QH8323,7.00,1/1/2054,"5,883,551","6,148,160","6,134,838"
FED HM LN PC POOL QH8763,7.00,1/1/2054,"4,935,658","5,157,636","5,146,460"
FED HM LN PC POOL QI0025,7.00,2/1/2054,"1,572,879","1,643,620","1,644,181"
FED HM LN PC POOL QI0200,7.00,1/1/2054,"4,156,407","4,343,339","4,333,928"
