0,1,2,3,4,5
,,Mortgage-Backed Securities,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
FED HM LN PC POOL A70570,6.50,1/1/2038,"12,587","12,709","13,240"
FED HM LN PC POOL A71410,6.00,1/1/2038,"5,731","5,967","5,939"
FED HM LN PC POOL A72251,7.00,2/1/2038,"23,924","26,649","25,761"
FED HM LN PC POOL A74528,4.50,3/1/2038,"12,534","12,608","12,196"
FED HM LN PC POOL A77989,7.00,6/1/2038,"38,526","44,492","41,493"
FED HM LN PC POOL A77997,7.00,5/1/2038,"61,967","63,546","66,751"
FED HM LN PC POOL A81046,6.00,8/1/2038,885,"1,004",917
FED HM LN PC POOL A81420,6.00,9/1/2038,"9,840","11,103","10,198"
FED HM LN PC POOL A82358,6.00,10/1/2038,"9,827","11,179","10,185"
FED HM LN PC POOL A82557,6.00,10/1/2038,"7,918","8,253","8,207"
FED HM LN PC POOL A83617,6.00,12/1/2038,"1,283","1,321","1,330"
FED HM LN PC POOL A84001,6.00,1/1/2039,723,754,750
FED HM LN PC POOL A87100,4.50,6/1/2039,"96,829","105,570","94,209"
FED HM LN PC POOL A87842,4.50,8/1/2039,"1,621,779","1,715,245","1,578,136"
FED HM LN PC POOL A88406,4.50,9/1/2039,"524,018","551,851","509,916"
FED HM LN PC POOL A88904,6.00,9/1/2039,"1,933","2,189","2,003"
FED HM LN PC POOL A89165,4.50,10/1/2039,"47,906","50,456","46,617"
FED HM LN PC POOL A89214,4.50,10/1/2039,"15,492","16,317","15,075"
FED HM LN PC POOL A89279,6.00,10/1/2039,"66,842","73,066","69,255"
FED HM LN PC POOL A89503,4.50,10/1/2039,"49,848","52,501","48,506"
FED HM LN PC POOL A89658,5.00,11/1/2039,"19,235","20,655","19,125"
FED HM LN PC POOL A89989,4.50,11/1/2039,"58,077","61,175","56,511"
FED HM LN PC POOL A90032,4.50,12/1/2039,"27,917","29,410","27,166"
FED HM LN PC POOL A90112,4.50,12/1/2039,"113,070","119,113","110,027"
FED HM LN PC POOL A90175,4.50,12/1/2039,"175,791","185,186","171,060"
FED HM LN PC POOL A90316,4.50,12/1/2039,"21,745","22,907","21,159"
FED HM LN PC POOL A90365,4.50,12/1/2039,"1,049,892","1,106,006","1,021,639"
FED HM LN PC POOL A90388,4.50,12/1/2039,"253,530","267,081","246,708"
FED HM LN PC POOL A90421,4.50,12/1/2039,"809,575","852,844","787,789"
FED HM LN PC POOL A90660,4.50,1/1/2040,"37,181","39,172","36,180"
FED HM LN PC POOL A91025,5.00,2/1/2040,"32,161","35,599","31,978"
FED HM LN PC POOL A91109,4.50,2/1/2040,"285,058","300,357","277,213"
FED HM LN PC POOL A91182,4.50,2/1/2040,"220,261","231,559","214,320"
FED HM LN PC POOL A91373,4.50,3/1/2040,"33,630","35,439","32,725"
FED HM LN PC POOL A91435,4.50,2/1/2040,"682,332","718,952","663,970"
FED HM LN PC POOL A91531,6.00,3/1/2040,"22,953","25,212","23,792"
FED HM LN PC POOL A91548,5.50,3/1/2040,"235,453","262,546","239,323"
FED HM LN PC POOL A91796,5.00,4/1/2040,"22,520","25,183","22,389"
FED HM LN PC POOL A91942,4.50,4/1/2040,"179,569","188,820","174,634"
FED HM LN PC POOL A91947,5.00,4/1/2040,"1,878","2,108","1,867"
FED HM LN PC POOL A92350,5.00,6/1/2040,"29,820","33,427","29,646"
FED HM LN PC POOL A92465,4.50,6/1/2040,"1,830","1,830","1,779"
FED HM LN PC POOL A92543,5.00,6/1/2040,"1,356,039","1,527,230","1,348,152"
FED HM LN PC POOL A92789,5.00,7/1/2040,"1,878","2,105","1,867"
FED HM LN PC POOL A92955,5.00,7/1/2040,"17,861","20,064","17,757"
FED HM LN PC POOL A93093,4.50,7/1/2040,"8,929","9,392","8,684"
FED HM LN PC POOL A93101,5.00,7/1/2040,"68,392","76,833","67,996"
FED HM LN PC POOL A93108,6.00,7/1/2040,"22,592","24,987","23,418"
FED HM LN PC POOL A93486,5.00,8/1/2040,"69,041","74,615","68,639"
