0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
CONSUMERS ENERGY CO,2.65,8/15/2052,"86,000","52,719","53,057"
CONSUMERS ENERGY CO,3.10,8/15/2050,"173,000","117,413","119,237"
CONSUMERS ENERGY CO,3.75,2/15/2050,"173,000","131,676","131,689"
CONSUMERS ENERGY CO,4.05,5/15/2048,"45,000","35,935","36,590"
CONSUMERS ENERGY CO,3.95,7/15/2047,"369,000","292,861","295,794"
CONSUMERS ENERGY CO,3.25,8/15/2046,"22,000","15,640","15,952"
CONSUMERS ENERGY CO,3.95,5/15/2043,"36,000","28,957","29,213"
CONTINENTAL RESOURCES,4.90,6/1/2044,"200,000","152,473","163,520"
CONTINUUM GRN SPV CO ISS,7.50,6/26/2033,"1,068,000","1,068,000","1,058,922"
COOPERATIEVE RABOBANK UA,5.25,8/4/2045,"250,000","224,488","236,853"
COOPERATIEVE RABOBANK UA,5.25,5/24/2041,"347,000","345,752","342,926"
COREBRIDGE FINANCIAL INC,4.35,4/5/2042,"900,000","748,567","742,527"
COREWELL HEALTH OBL GRP,3.49,7/15/2049,"87,000","62,341","64,975"
CORNING INC,5.45,11/15/2079,"277,000","242,178","254,829"
CORNING INC,5.85,11/15/2068,"173,000","161,267","169,317"
CORNING INC,5.35,11/15/2048,"173,000","159,603","161,937"
CORNING INC,4.70,3/15/2037,"173,000","157,311","159,878"
COSAN LUXEMBOURG SA,7.25,6/27/2031,"2,104,000","2,112,879","2,129,879"
COTTAGE HEALTH SYSTEM,3.30,11/1/2049,"173,000","121,000","123,737"
COTY INC,5.00,4/15/2026,"679,000","667,712","669,664"
COTY/HFC PRESTIGE/INT US,6.63,7/15/2030,"993,000","1,008,595","1,008,431"
COTY/HFC PRESTIGE/INT US,4.75,1/15/2029,"308,000","286,392","292,387"
CPI CG INC,10.00,7/15/2029,"480,000","480,000","499,138"
CREDIT ACCEPTANC,9.25,12/15/2028,"872,000","901,167","922,314"
CRESCENT ENERGY FINANCE,9.25,2/15/2028,"1,949,000","2,003,924","2,058,787"
CROWN AMER/CAP CORP VI,4.75,2/1/2026,"200,000","195,287","196,536"
CROWN CASTLE INC,3.25,1/15/2051,"2,097,000","1,436,580","1,388,151"
CROWN CASTLE INC,2.90,4/1/2041,"623,000","443,541","430,867"
CROWN CASTLE INC,5.80,3/1/2034,"792,000","805,948","799,888"
CROWNROCK LP/CROWNROCK F,5.63,10/15/2025,"1,398,000","1,383,719","1,394,994"
CSC HOLDINGS LLC,11.75,1/31/2029,"200,000","200,000","170,774"
CSC HOLDINGS LLC,11.25,5/15/2028,"789,000","782,360","689,326"
CSX CORP,4.25,11/1/2066,"24,000","19,079","18,671"
CSX CORP,4.50,11/15/2052,"873,000","760,241","747,297"
CSX CORP,4.10,3/15/2044,"226,000","188,653","185,697"
CSX CORP,6.15,5/1/2037,"60,000","65,701","64,313"
CVR ENERGY INC,8.50,1/15/2029,"1,982,000","1,982,912","1,992,524"
CVR ENERGY INC,5.75,2/15/2028,"741,000","687,525","688,708"
CVR PARTNERS/CVR NITROGE,6.13,6/15/2028,"1,372,000","1,271,247","1,318,684"
CVS HEALTH CORP,6.00,6/1/2063,"527,000","520,475","504,397"
CVS HEALTH CORP,6.05,6/1/2054,"413,000","413,636","404,765"
CVS HEALTH CORP,5.05,3/25/2048,"2,966,000","2,716,618","2,555,980"
CVS HEALTH CORP,5.13,7/20/2045,"2,959,000","2,694,278","2,601,937"
CVS HEALTH CORP,2.70,8/21/2040,"1,000,000","670,150","664,070"
CVS HEALTH CORP,5.30,6/1/2033,"73,000","72,795","71,276"
DAE FUNDING LLC,3.38,3/20/2028,"220,000","200,210","202,099"
DAE FUNDING LLC,2.63,3/20/2025,"600,000","583,123","583,942"
DAE FUNDING LLC,1.55,8/1/2024,"1,218,000","1,212,452","1,213,036"
DAE SUKUK DIFC LTD,3.75,2/15/2026,"310,000","297,780","298,375"
DANA INC,4.25,9/1/2030,"173,000","146,292","150,930"
DANA INC,5.63,6/15/2028,"120,000","113,993","116,326"
DARDEN RESTAURANTS INC,4.55,2/15/2048,"800,000","649,288","650,528"
DARLING INGREDIENTS INC,6.00,6/15/2030,"127,000","123,652","124,832"
