0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
RITCHIE BROS HLDGS INC,6.75,3/15/2028,"9,107,000","9,219,850","9,279,396"
RITE AID CORP,8.00,11/15/2026,"7,782,000","5,152,002","3,275,599"
RITE AID CORP,1.00,10/18/2024,"12,965","1,188",0
RITE AID CORP,8.00,10/18/2024,"972,000","448,882","396,090"
RITHM CAPITAL CORP,8.00,4/1/2029,"11,500,000","11,258,114","11,177,080"
RITHM CAPITAL CORP,6.25,10/15/2025,"1,984,000","1,911,837","1,969,636"
RLJ LODGING TRUST LP,4.00,9/15/2029,"17,481,000","15,749,994","15,470,685"
RLJ LODGING TRUST LP,3.75,7/1/2026,"16,309,000","15,830,731","15,502,194"
ROBLOX CORP,3.88,5/1/2030,"38,532,000","34,626,269","34,255,333"
ROCHE HOLDINGS INC,5.22,3/8/2054,"27,000,000","27,043,640","26,469,720"
ROCHE HOLDINGS INC,4.99,3/8/2034,"20,000,000","20,000,000","19,816,200"
ROCKCLIFF ENERGY II LLC,5.50,10/15/2029,"24,500,000","23,075,951","22,933,470"
ROCKET SOFTWARE INC,9.00,11/28/2028,"12,450,000","12,490,719","12,678,956"
"ROCKET SOFTWARE, INC.",1.00,11/28/2028,"5,471,219","5,416,506","5,486,374"
ROCKETMTGE CO ISSUER INC,4.00,10/15/2033,"32,512,000","27,864,634","27,402,414"
ROCKETMTGE CO ISSUER INC,3.88,3/1/2031,"54,147,000","47,126,777","47,186,945"
ROCKETMTGE CO ISSUER INC,3.63,3/1/2029,"29,818,000","26,596,726","27,092,933"
ROCKETMTGE CO ISSUER INC,2.88,10/15/2026,"36,051,000","33,736,719","33,623,686"
ROCKIES EXPRESS PIPELINE,6.88,4/15/2040,"18,275,000","17,483,638","17,477,114"
ROCKIES EXPRESS PIPELINE,4.95,7/15/2029,"23,270,000","21,813,943","21,906,611"
ROCKIES EXPRESS PIPELINE,3.60,5/15/2025,"450,000","443,676","439,556"
ROGERS COMMUNICATIONS IN,1.00,3/15/2082,"10,500,000","9,759,520","10,052,910"
ROGERS COMMUNICATIONS IN,4.55,3/15/2052,"18,500,000","15,401,208","15,084,715"
ROGERS COMMUNICATIONS IN,5.30,2/15/2034,"25,000,000","24,773,351","24,526,250"
ROGERS COMMUNICATIONS IN,3.80,3/15/2032,"53,500,000","53,257,799","47,811,880"
ROLLER BEARING CO OF AME,4.38,10/15/2029,"11,150,000","10,355,454","10,268,370"
ROYAL BANK OF CANADA,5.00,5/2/2033,"30,000,000","29,944,158","29,579,700"
ROYAL CARIBBEAN CRUISES,6.25,3/15/2032,"33,280,000","33,388,042","33,531,264"
ROYAL CARIBBEAN CRUISES,7.25,1/15/2030,"4,513,000","4,520,513","4,673,076"
ROYAL CARIBBEAN CRUISES,9.25,1/15/2029,"40,450,000","42,253,290","43,196,151"
ROYAL CARIBBEAN CRUISES,5.50,4/1/2028,"53,961,000","51,726,596","53,283,789"
ROYAL CARIBBEAN CRUISES,3.70,3/15/2028,"400,000","354,845","373,888"
ROYAL CARIBBEAN CRUISES,5.38,7/15/2027,"28,797,000","27,886,438","28,365,333"
ROYAL CARIBBEAN CRUISES,5.50,8/31/2026,"13,000,000","12,584,121","12,839,320"
ROYAL CARIBBEAN CRUISES,4.25,7/1/2026,"6,955,000","6,799,424","6,731,119"
ROYALTY PHARMA PLC,5.90,9/2/2054,"15,000,000","14,643,230","14,469,300"
ROYALTY PHARMA PLC,3.35,9/2/2051,"22,000,000","21,516,481","14,064,380"
ROYALTY PHARMA PLC,3.55,9/2/2050,"16,000,000","10,823,848","10,748,000"
ROYALTY PHARMA PLC,3.30,9/2/2040,"93,330,000","88,852,652","67,396,393"
ROYALTY PHARMA PLC,2.20,9/2/2030,"18,300,000","18,129,023","15,259,272"
RPM INTERNATIONAL INC,2.95,1/15/2032,"5,970,000","5,744,055","4,994,024"
RTX CORP,5.38,2/27/2053,"10,500,000","10,905,141","9,970,590"
RTX CORP,3.03,3/15/2052,"24,500,000","22,663,337","15,623,650"
RTX CORP,2.82,9/1/2051,"10,000,000","8,700,049","6,084,000"
RTX CORP,3.13,7/1/2050,"29,560,000","29,626,666","19,415,599"
RTX CORP,4.05,5/4/2047,"17,866,000","17,462,407","14,045,892"
RTX CORP,4.35,4/15/2047,"13,615,000","15,995,110","11,211,408"
RTX CORP,4.50,6/1/2042,"48,126,000","52,292,006","41,755,080"
RTX CORP,4.88,10/15/2040,"3,000,000","3,657,062","2,735,250"
RTX CORP,4.45,11/16/2038,"35,073,000","39,704,692","31,038,202"
RTX CORP,6.10,3/15/2034,"4,000,000","4,249,298","4,212,000"
RTX CORP,5.15,2/27/2033,"9,500,000","9,824,716","9,399,965"
RYAN SPECIALTY GROUP,4.38,2/1/2030,"100,000","100,000","92,867"
