0,1,2,3,4,5
,,Mortgage-Backed Securities,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
FHLMC MULTIFAMILY STRUCTURED P,2.90,6/25/2029,"246,000","224,690","226,148"
FHLMC MULTIFAMILY STRUCTURED P,2.73,5/25/2029,"4,000,000","3,577,997","3,633,439"
FHLMC MULTIFAMILY STRUCTURED P,3.30,4/25/2029,"347,000","323,519","325,315"
FHLMC MULTIFAMILY STRUCTURED P,1.00,1/25/2029,"347,000","310,221","311,166"
FHLMC MULTIFAMILY STRUCTURED P,3.56,1/25/2029,"124,000","117,229","117,781"
FHLMC MULTIFAMILY STRUCTURED P,3.69,1/25/2029,"284,000","270,098","271,254"
FHLMC MULTIFAMILY STRUCTURED P,3.77,12/25/2028,"2,213,000","2,101,630","2,121,699"
FHLMC MULTIFAMILY STRUCTURED P,1.00,11/25/2028,"2,104,000","2,005,491","2,024,728"
FHLMC MULTIFAMILY STRUCTURED P,1.66,8/25/2028,"250,000","220,162","220,437"
FHLMC MULTIFAMILY STRUCTURED P,3.85,6/25/2028,"173,000","166,456","166,836"
FHLMC MULTIFAMILY STRUCTURED P,3.90,4/25/2028,"916,000","883,390","885,334"
FHLMC MULTIFAMILY STRUCTURED P,1.76,3/25/2028,"104,000","93,086","93,387"
FHLMC MULTIFAMILY STRUCTURED P,3.35,1/25/2028,"25,000","23,715","23,777"
FHLMC MULTIFAMILY STRUCTURED P,3.60,1/25/2028,"905,000","865,376","867,495"
FHLMC MULTIFAMILY STRUCTURED P,3.44,12/25/2027,"37,000","35,232","35,313"
FHLMC MULTIFAMILY STRUCTURED P,1.00,11/25/2027,"883,000","838,362","840,455"
FHLMC MULTIFAMILY STRUCTURED P,3.19,7/25/2027,"37,000","35,143","35,210"
FHLMC MULTIFAMILY STRUCTURED P,1.00,1/25/2027,"123,000","118,257","118,538"
FHLMC MULTIFAMILY STRUCTURED P,3.41,12/25/2026,"246,000","236,549","237,011"
FHLMC MULTIFAMILY STRUCTURED P,2.53,10/25/2026,"416,000","393,669","394,594"
FHLMC MULTIFAMILY STRUCTURED P,1.00,9/25/2026,"61,000","58,528","58,598"
FHLMC MULTIFAMILY STRUCTURED P,2.28,7/25/2026,"2,040,000","1,932,855","1,938,505"
FHLMC MULTIFAMILY STRUCTURED P,2.72,7/25/2026,"92,000","87,992","88,181"
FHLMC MULTIFAMILY STRUCTURED P,2.53,5/25/2026,"107,000","102,140","102,269"
FHLMC MULTIFAMILY STRUCTURED P,2.75,1/25/2026,"172,000","165,836","165,954"
FHLMC MULTIFAMILY STRUCTURED P,3.00,12/25/2025,"86,000","83,350","83,420"
FHLMC MULTIFAMILY STRUCTURED P,3.01,7/25/2025,"151,348","147,812","147,807"
FHLMC MULTIFAMILY STRUCTURED P,1.00,5/25/2025,"153,282","150,568","150,519"
FHLMC MULTIFAMILY STRUCTURED P,3.21,3/25/2025,"61,685","60,696","60,654"
FHLMC MULTIFAMILY STRUCTURED P,2.81,1/25/2025,"1,362,354","1,342,445","1,342,143"
FHLMC MULTIFAMILY STRUCTURED P,3.02,1/25/2025,"179,581","177,073","176,882"
FHLMC MULTIFAMILY STRUCTURED P,3.06,12/25/2024,"25,362","25,068","25,053"
FHLMC MULTIFAMILY STRUCTURED P,3.17,10/25/2024,"116,441","115,571","115,553"
FNMA POOL BY2978,5.00,5/1/2053,"661,374","633,183","639,912"
FNMA POOL BZ1178,5.81,6/1/2031,"8,918,000","8,981,921","9,270,364"
FNMA POOL CA1384,4.50,3/1/2048,"1,057,609","1,004,141","1,018,226"
FNMA POOL CA4272,3.50,10/1/2034,"247,776","232,560","235,611"
FNMA POOL CA7044,3.00,9/1/2050,"1,136,209","993,641","985,221"
FNMA POOL CB2582,2.00,1/1/2037,"1,423,593","1,248,306","1,256,625"
FNMA POOL CB2755,3.00,2/1/2052,"686,243","592,240","590,098"
FNMA POOL CB3205,2.50,3/1/2037,"479,255","427,325","433,802"
FNMA POOL CB3255,3.50,4/1/2052,"724,006","646,066","646,714"
FNMA POOL CB5482,6.00,1/1/2053,"1,110,303","1,111,400","1,117,033"
FNMA POOL CB6867,5.50,8/1/2053,"1,027,768","1,001,086","1,015,117"
FNMA POOL CB7349,6.50,10/1/2053,"392,979","402,199","401,469"
FNMA POOL CB8018,6.50,2/1/2054,"731,477","749,081","747,847"
FNMA POOL CB8339,6.00,4/1/2054,"210,321","212,441","211,710"
FNMA POOL FM3480,1.00,6/1/2050,"275,751","224,089","227,477"
FNMA POOL FM4738,1.00,9/1/2050,"761,941","696,237","705,388"
