0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
DTE ELECTRIC CO,3.25,4/1/2051,"149,000","102,370","100,560"
DTE ELECTRIC CO,3.95,3/1/2049,"123,000","96,040","96,899"
DTE ELECTRIC CO,4.05,5/15/2048,"87,000","69,304","69,355"
DTE ELECTRIC CO,3.75,8/15/2047,"40,000","30,117","30,300"
DTE ELECTRIC CO,3.70,6/1/2046,"333,000","248,902","254,019"
DTE ELECTRIC CO,3.70,3/15/2045,"217,000","163,832","167,253"
DTE ELECTRIC CO,4.30,7/1/2044,"126,000","107,735","106,697"
DTE ELECTRIC CO,4.00,4/1/2043,"21,000","16,822","17,231"
DUKE ENERGY CAROLINAS,5.40,1/15/2054,"2,269,000","2,131,456","2,174,383"
DUKE ENERGY CAROLINAS,5.35,1/15/2053,"1,161,000","1,062,976","1,102,857"
DUKE ENERGY CAROLINAS,3.45,4/15/2051,"203,000","141,205","141,639"
DUKE ENERGY CAROLINAS,3.95,3/15/2048,"139,000","107,421","107,012"
DUKE ENERGY CAROLINAS,3.70,12/1/2047,"130,000","96,891","95,365"
DUKE ENERGY CAROLINAS,3.88,3/15/2046,"209,000","158,889","160,142"
DUKE ENERGY CAROLINAS,3.75,6/1/2045,"130,000","97,890","97,760"
DUKE ENERGY CAROLINAS,4.00,9/30/2042,"1,958,000","1,617,761","1,576,268"
DUKE ENERGY CAROLINAS,4.25,12/15/2041,"482,000","414,597","403,410"
DUKE ENERGY CAROLINAS,5.30,2/15/2040,"40,000","38,360","38,656"
DUKE ENERGY CAROLINAS,6.05,4/15/2038,"65,000","66,302","67,677"
DUKE ENERGY CAROLINAS,6.00,1/15/2038,"87,000","88,896","90,463"
DUKE ENERGY CAROLINAS,6.10,6/1/2037,"32,000","32,530","32,909"
DUKE ENERGY CORP,6.10,9/15/2053,"400,000","400,420","406,248"
DUKE ENERGY CORP,5.00,8/15/2052,"400,000","342,770","347,712"
DUKE ENERGY CORP,4.20,6/15/2049,"50,000","38,291","38,442"
DUKE ENERGY CORP,3.95,8/15/2047,"65,000","48,004","48,329"
DUKE ENERGY CORP,3.75,9/1/2046,"220,000","159,043","160,233"
DUKE ENERGY CORP,4.80,12/15/2045,"65,000","55,214","55,862"
DUKE ENERGY CORP,3.30,6/15/2041,"520,000","372,261","377,213"
DUKE ENERGY FLORIDA LLC,5.95,11/15/2052,"683,000","658,214","696,701"
DUKE ENERGY FLORIDA LLC,3.00,12/15/2051,"2,423,000","1,567,373","1,524,988"
DUKE ENERGY FLORIDA LLC,4.20,7/15/2048,"65,000","52,345","52,166"
DUKE ENERGY FLORIDA LLC,5.65,4/1/2040,"18,000","17,630","17,886"
DUKE ENERGY FLORIDA LLC,6.40,6/15/2038,"1,216,000","1,338,039","1,303,382"
DUKE ENERGY FLORIDA LLC,6.35,9/15/2037,"413,000","431,352","438,594"
DUKE ENERGY INDIANA LLC,5.40,4/1/2053,"400,000","379,216","378,192"
DUKE ENERGY INDIANA LLC,2.75,4/1/2050,"107,000","64,829","64,456"
DUKE ENERGY INDIANA LLC,3.25,10/1/2049,"104,000","70,020","69,868"
DUKE ENERGY INDIANA LLC,3.75,5/15/2046,"65,000","48,186","49,236"
DUKE ENERGY INDIANA LLC,4.90,7/15/2043,"59,000","52,599","52,678"
DUKE ENERGY INDIANA LLC,6.45,4/1/2039,"42,000","43,758","45,236"
DUKE ENERGY INDIANA LLC,6.35,8/15/2038,"27,000","28,226","28,782"
DUKE ENERGY INDIANA LLC,6.12,10/15/2035,"16,000","16,237","16,899"
DUKE ENERGY OHIO INC,5.65,4/1/2053,"104,000","101,398","100,401"
DUKE ENERGY OHIO INC,4.30,2/1/2049,"553,000","456,877","443,744"
DUKE ENERGY OHIO INC,3.70,6/15/2046,"101,000","73,487","74,030"
DUKE ENERGY PROGRESS LLC,5.35,3/15/2053,"753,000","719,012","706,487"
DUKE ENERGY PROGRESS LLC,4.00,4/1/2052,"138,000","109,545","104,398"
DUKE ENERGY PROGRESS LLC,3.60,9/15/2047,"247,000","181,215","178,374"
DUKE ENERGY PROGRESS LLC,3.70,10/15/2046,"130,000","95,807","96,201"
DUKE ENERGY PROGRESS LLC,4.15,12/1/2044,"702,000","522,744","563,832"
DUKE ENERGY PROGRESS LLC,4.38,3/30/2044,"11,000","9,160","9,130"
DUKE ENERGY PROGRESS LLC,4.10,3/15/2043,"18,000","14,502","14,541"
DUKE ENERGY PROGRESS LLC,4.10,5/15/2042,"2,766,000","2,252,852","2,258,882"
