0,1,2,3,4,5
,,Mortgage-Backed Securities,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
BENCHMARK MORTGAGE TRUST,1.00,9/15/2053,"79,447,102","9,777,936","4,692,654"
BENCHMARK MORTGAGE TRUST,1.00,2/15/2054,"35,032,425","3,382,818","1,986,509"
BENCHMARK MORTGAGE TRUST,1.00,4/15/2054,"67,396,224","5,921,567","3,531,936"
BENCHMARK MORTGAGE TRUST,1.00,6/15/2054,"73,362,716","5,089,870","2,993,728"
BENCHMARK MORTGAGE TRUST,1.00,12/15/2054,"84,333,822","5,109,444","3,523,156"
BENCHMARK MORTGAGE TRUST,1.00,8/15/2057,"112,460,015","9,684,759","4,391,988"
BENCHMARK MORTGAGE TRUST,1.00,12/15/2072,"136,869,301","8,750,205","4,323,589"
BENCHMARK MORTGAGE TRUST,1.00,12/15/2056,"51,870,051","3,473,919","3,419,619"
BENCHMARK MORTGAGE TRUST,1.00,7/15/2056,"123,453,478","4,348,204","3,560,909"
BENCHMARK MORTGAGE TRUST,1.00,4/15/2056,"167,235,879","6,321,357","5,456,422"
BENCHMARK MORTGAGE TRUST,1.00,10/15/2028,"32,494,211","1,823,023","1,730,242"
BENCHMARK MORTGAGE TRUST,1.00,5/15/2056,"40,500,000","1,180,563","1,168,368"
BENCHMARK MORTGAGE TRUST,1.00,5/15/2055,"58,388,833","2,484,048","1,906,366"
BENCHMARK MORTGAGE TRUST,1.00,1/10/2057,"69,497,417","3,203,303","2,944,872"
BENCHMARK MORTGAGE TRUST,1.00,7/15/2055,"141,900,000","7,502,452","6,420,061"
BENCHMARK MORTGAGE TRUST,1.00,11/15/2056,"260,008,315","5,989,474","5,269,381"
BENCHMARK MORTGAGE TRUST,1.95,3/15/2054,"10,000,000","10,270,200","9,209,479"
BENCHMARK MORTGAGE TRUST,1.96,6/15/2054,"3,000,000","3,081,542","2,662,710"
BENCHMARK MORTGAGE TRUST,1.98,4/15/2054,"5,000,000","5,135,437","4,700,421"
BMO MORTGAGE TRUST,1.00,8/15/2056,"62,336,626","1,624,143","1,332,938"
BMO MORTGAGE TRUST,1.00,5/15/2057,"58,619,152","1,518,805","1,518,805"
BMO MORTGAGE TRUST,1.00,12/15/2056,"58,514,488","3,236,670","3,202,884"
BMO MORTGAGE TRUST,1.00,3/15/2057,"39,588,113","3,498,370","3,450,983"
BMO MORTGAGE TRUST,1.00,2/15/2057,"71,675,000","3,402,928","3,099,924"
BMO MORTGAGE TRUST,1.00,11/15/2056,"175,976,781","1,850,290","1,625,526"
BMO MORTGAGE TRUST,1.00,6/15/2056,"93,121,815","4,946,771","4,820,692"
CANTOR COMMERCIAL REAL ESTATE,1.00,11/15/2052,"142,118,079","13,180,301","6,157,297"
CANTOR COMMERCIAL REAL ESTATE,3.01,1/15/2053,"10,000,000","10,258,879","8,842,707"
CD COMMERCIAL MORTGAGE TRUST,1.00,11/10/2049,"1,845,000","2,060,732","1,719,005"
CD COMMERCIAL MORTGAGE TRUST,1.00,2/10/2050,"53,103,167","4,169,958","1,057,901"
CD COMMERCIAL MORTGAGE TRUST,1.00,8/15/2050,"151,985,908","10,148,570","2,908,507"
CD COMMERCIAL MORTGAGE TRUST,1.00,11/13/2050,"105,545,175","5,894,974","1,993,154"
CD COMMERCIAL MORTGAGE TRUST,1.00,8/15/2057,"104,207,582","12,068,018","5,803,661"
CD COMMERCIAL MORTGAGE TRUST,3.25,11/10/2049,"2,839,006","3,060,158","2,695,450"
CITIGROUP COMMERCIAL MORTGAGE,1.00,11/10/2048,"49,233,386","2,992,784","323,656"
CITIGROUP COMMERCIAL MORTGAGE,1.00,2/10/2049,"112,401,502","10,666,745","1,617,442"
CITIGROUP COMMERCIAL MORTGAGE,1.00,4/10/2049,"46,866,636","6,095,109","966,545"
CITIGROUP COMMERCIAL MORTGAGE,1.00,5/10/2049,"121,617,370","16,794,033","3,139,297"
CITIGROUP COMMERCIAL MORTGAGE,1.00,8/10/2049,"36,606,214","2,522,397","941,906"
CITIGROUP COMMERCIAL MORTGAGE,1.00,12/10/2049,"77,829,888","3,466,807","829,811"
CITIGROUP COMMERCIAL MORTGAGE,1.00,8/15/2050,"54,413,368","3,469,897","1,001,868"
CITIGROUP COMMERCIAL MORTGAGE,1.00,11/10/2051,"65,556,711","4,053,640","1,804,441"
CITIGROUP COMMERCIAL MORTGAGE,1.00,2/15/2053,"114,108,209","9,119,094","4,531,871"
CITIGROUP COMMERCIAL MORTGAGE,1.00,8/10/2056,"125,023,673","9,812,506","4,490,401"
CITIGROUP COMMERCIAL MORTGAGE,1.00,9/10/2058,"87,075,518","6,248,766","594,090"
CITIGROUP COMMERCIAL MORTGAGE,1.00,12/15/2072,"120,328,187","8,458,494","4,268,091"
CITIGROUP COMMERCIAL MORTGAGE,2.86,12/15/2072,"10,000,000","10,091,125","8,844,563"
CITIGROUP COMMERCIAL MORTGAGE,3.10,12/15/2072,"40,000,000","41,095,965","35,747,632"
CITIGROUP COMMERCIAL MORTGAGE,3.33,4/15/2049,"5,000,000","5,468,156","4,783,875"
