0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
MICROSOFT CORP,2.68,6/1/2060,"2,100,000","1,319,495","1,276,737"
MICROSTRATEGY INC,6.13,6/15/2028,"1,458,000","1,381,658","1,412,933"
MIDAMERICAN ENERGY CO,5.30,2/1/2055,"1,719,000","1,696,054","1,637,176"
MIDAMERICAN ENERGY CO,5.85,9/15/2054,"1,364,000","1,409,574","1,397,923"
MIDAMERICAN ENERGY CO,3.15,4/15/2050,"173,000","115,542","115,844"
MIDAMERICAN ENERGY CO,4.25,7/15/2049,"130,000","104,913","106,846"
MIDAMERICAN ENERGY CO,3.65,8/1/2048,"239,000","176,011","179,064"
MIDAMERICAN ENERGY CO,3.95,8/1/2047,"399,000","309,344","310,685"
MIDAMERICAN ENERGY CO,4.25,5/1/2046,"508,000","425,903","418,353"
MIDAMERICAN ENERGY CO,4.40,10/15/2044,"200,000","168,032","169,696"
MIDAMERICAN ENERGY CO,4.80,9/15/2043,"38,000","33,694","34,287"
MIDAMERICAN ENERGY CO,5.35,1/15/2034,"136,000","141,594","137,686"
MIDCAP FINANCIAL ISSR TR,6.50,5/1/2028,"440,000","402,181","415,589"
MILLICOM INTL CELLULAR,7.38,4/2/2032,"1,065,000","1,065,000","1,061,975"
MINERAL RESOURCES LTD,8.50,5/1/2030,"1,000,000","1,004,946","1,035,310"
MINERAL RESOURCES LTD,9.25,10/1/2028,"931,000","971,148","977,187"
MINERAL RESOURCES LTD,8.00,11/1/2027,"2,863,000","2,862,218","2,920,947"
MINERAL RESOURCES LTD,8.13,5/1/2027,"738,000","736,688","744,996"
MINERALS TECHNOLOGIES IN,5.00,7/1/2028,"10,000","9,134","9,490"
MISSISSIPPI POWER CO,3.10,7/30/2051,"217,000","135,951","136,812"
MISSISSIPPI POWER CO,4.25,3/15/2042,"44,000","35,490","36,141"
MOLINA HEALTHCARE INC,3.88,5/15/2032,"252,000","211,379","218,522"
MOLINA HEALTHCARE INC,4.38,6/15/2028,"800,000","741,743","752,320"
MOODY S CORPORATION,3.10,11/29/2061,"237,000","154,947","145,170"
MOODY S CORPORATION,3.75,2/25/2052,"487,000","387,164","365,864"
MOODY S CORPORATION,2.75,8/19/2041,"408,000","293,282","281,834"
MORGAN STANLEY,1.00,1/25/2052,"5,750,000","3,804,298","3,616,693"
MORGAN STANLEY,1.00,4/22/2042,"8,849,000","6,826,409","6,632,856"
MORGAN STANLEY,1.00,4/22/2039,"195,000","169,762","174,287"
MORGAN STANLEY,1.00,7/22/2038,"227,000","187,715","192,158"
MORGAN STANLEY,1.00,1/19/2038,"461,000","446,623","458,377"
MORGAN STANLEY,1.00,4/20/2037,"1,101,000","1,018,628","1,054,483"
MORGAN STANLEY,1.00,4/19/2035,"700,000","700,000","718,375"
MOTOROLA SOLUTIONS INC,5.50,9/1/2044,"2,277,000","2,140,354","2,206,914"
MOTOROLA SOLUTIONS INC,5.40,4/15/2034,"2,405,000","2,388,194","2,383,187"
MOTOROLA SOLUTIONS INC,5.60,6/1/2032,"347,000","338,468","350,824"
MPH ACQUISITION HOLDINGS,5.75,11/1/2028,"266,000","215,357","142,831"
MPH ACQUISITION HOLDINGS,5.50,9/1/2028,"2,162,000","1,932,932","1,639,099"
MPLX LP,4.90,4/15/2058,"1,000,000","777,764","822,530"
MPLX LP,5.65,3/1/2053,"700,000","621,170","657,678"
MPLX LP,4.95,3/14/2052,"1,045,000","868,377","887,299"
MPLX LP,5.50,2/15/2049,"1,300,000","1,134,072","1,200,940"
MPLX LP,4.70,4/15/2048,"2,300,000","1,824,791","1,901,065"
MPLX LP,5.20,12/1/2047,"500,000","420,949","440,180"
MPLX LP,5.20,3/1/2047,"1,216,000","1,024,185","1,088,746"
MPLX LP,4.50,4/15/2038,"2,544,000","2,177,646","2,220,505"
MPT OPER PARTNERSP/FINL,3.50,3/15/2031,"176,000","120,071","114,463"
MPT OPER PARTNERSP/FINL,4.63,8/1/2029,"293,000","221,525","215,288"
MPT OPER PARTNERSP/FINL,5.00,10/15/2027,"1,337,000","1,097,343","1,115,138"
MPT OPER PARTNERSP/FINL,5.25,8/1/2026,"787,000","721,942","716,414"
MSCI INC,3.25,8/15/2033,"1,085,000","901,987","896,622"
MSCI INC,3.88,2/15/2031,"2,885,000","2,607,663","2,594,567"
MSCI INC,4.00,11/15/2029,"397,000","371,397","370,167"
