0,1,2,3,4,5
,,Corporate Bonds,,,
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
WOLVERINE WORLD WIDE,4.00,8/15/2029,"25,738,000","22,135,697","21,510,276"
WORKDAY INC,3.80,4/1/2032,"20,000,000","19,199,126","17,970,600"
WP CAREY INC,2.25,4/1/2033,"1,500,000","1,167,838","1,161,285"
WR GRACE HOLDING LLC,5.63,8/15/2029,"49,789,000","44,726,820","45,778,496"
WR GRACE HOLDING LLC,4.88,6/15/2027,"34,319,000","33,109,827","33,130,533"
WRANGLER HOLDCO CORP,6.63,4/1/2032,"5,807,000","5,807,000","5,805,548"
WRKCO INC,3.00,6/15/2033,"1,600,000","1,347,681","1,346,176"
WRKCO INC,4.20,6/1/2032,"17,861,000","18,084,346","16,706,465"
WW GRAINGER INC,4.60,6/15/2045,"16,934,000","18,773,579","15,162,704"
WW INTERNATIONAL INC,4.50,4/15/2029,"3,700,000","2,918,733","1,426,609"
WYNDHAM HOTELS + RESORTS,4.38,8/15/2028,"11,029,000","10,555,890","10,265,352"
WYNN LAS VEGAS LLC/CORP,5.25,5/15/2027,"37,849,000","36,471,149","36,917,536"
WYNN RESORTS FINANCE LLC,7.13,2/15/2031,"29,201,000","29,593,682","30,277,349"
WYNN RESORTS FINANCE LLC,5.13,10/1/2029,"28,390,000","26,345,979","27,026,144"
XCEL ENERGY INC,3.50,12/1/2049,"25,500,000","19,575,861","17,290,275"
XEROX HOLDINGS CORP,8.88,11/30/2029,"9,791,000","9,780,148","9,338,754"
XEROX HOLDINGS CORP,5.50,8/15/2028,"12,075,000","11,132,124","10,394,522"
XEROX HOLDINGS CORP,5.00,8/15/2025,"2,741,000","2,669,587","2,691,470"
XHR LP,4.88,6/1/2029,"10,750,000","9,796,249","10,082,533"
XHR LP,6.38,8/15/2025,"11,375,000","11,316,492","11,362,715"
XPO INC,7.13,2/1/2032,"15,142,000","15,274,554","15,504,651"
YUM  BRANDS INC,5.38,4/1/2032,"33,435,000","32,275,740","32,140,062"
YUM  BRANDS INC,4.63,1/31/2032,"32,137,000","29,861,492","29,584,037"
YUM  BRANDS INC,3.63,3/15/2031,"29,932,000","26,669,946","26,426,364"
YUM  BRANDS INC,4.75,1/15/2030,"16,525,000","15,947,618","15,732,957"
ZAYO GROUP HOLDINGS INC,4.00,3/1/2027,"24,925,000","20,873,674","19,836,811"
ZEBRA TECHNOLOGIES CORP,6.50,6/1/2032,"16,956,000","17,017,520","17,148,451"
ZF NA CAPITAL,6.88,4/23/2032,"6,000,000","6,000,000","6,203,640"
ZF NA CAPITAL,6.75,4/23/2030,"5,000,000","5,000,000","5,096,700"
ZF NA CAPITAL,7.13,4/14/2030,"4,573,000","4,600,150","4,731,272"
ZI TECH LLC/ZI FIN CORP,3.88,2/1/2029,"43,615,000","39,600,737","39,365,154"
ZIGGO BV,4.88,1/15/2030,"5,621,000","5,238,331","5,003,814"
ZIMMER BIOMET HOLDINGS,4.25,8/15/2035,"2,000,000","2,026,165","1,763,800"
ZIMMER BIOMET HOLDINGS,2.60,11/24/2031,"9,900,000","9,658,537","8,274,915"
ZIPRECRUITER INC,5.00,1/15/2030,"27,200,000","24,217,272","23,623,472"
ZIRAAT KATILIM VARLIK,9.38,11/12/2026,"5,000,000","5,264,578","5,262,500"
ZOETIS INC,3.00,5/15/2050,"3,000,000","2,384,791","1,956,510"
ZOETIS INC,4.70,2/1/2043,"52,124,000","54,867,209","46,456,036"
TOTAL,,,,"66,121,047,855","62,181,440,410"
