0,1,2,3,4,5
Security Name,Rate,Maturity Date,Par Value,Book Value,Market Value
DUKE ENERGY PROGRESS LLC,6.30,4/1/2038,"14,000","14,510","14,868"
DUKE UNIVERSITY HEALTH,3.92,6/1/2047,"550,000","436,710","443,652"
DUPONT DE NEMOURS INC,5.32,11/15/2038,"126,000","121,285","129,504"
DYE + DURHAM LIMITED,8.63,4/15/2029,"478,000","479,173","485,036"
EASTERN GAS TRAN,4.80,11/1/2043,"300,000","252,096","262,986"
EASTMAN CHEMICAL CO,4.80,9/1/2042,"852,000","768,498","741,453"
EATON CORP,4.70,8/23/2052,"292,000","260,825","264,193"
EATON CORP,3.92,9/15/2047,"57,000","45,955","45,501"
EATON CORP,4.15,11/2/2042,"87,000","74,523","73,994"
ECO MATERIAL TECH INC,7.88,1/31/2027,"265,000","263,311","265,652"
ECOLAB INC,2.70,12/15/2051,"300,000","186,848","185,040"
ECOPETROL SA,8.38,1/19/2036,"1,430,000","1,422,305","1,406,205"
ECOPETROL SA,8.88,1/13/2033,"2,020,000","2,029,990","2,088,276"
EDGEWELL PERSONAL CARE,5.50,6/1/2028,"782,000","743,144","763,897"
EDISON INTERNATIONAL,6.95,11/15/2029,"2,148,000","2,292,662","2,282,379"
EG GLOBAL FINANCE PLC,12.00,11/30/2028,"335,000","335,000","356,008"
EIG PEARL HOLDINGS SARL,3.55,8/31/2036,"2,400,000","2,021,325","2,063,352"
EL PASO NATURAL GAS,3.50,2/15/2032,"85,000","72,746","72,155"
ELECTRONIC ARTS INC,2.95,2/15/2051,"144,000","91,861","92,962"
ELEVANCE HEALTH INC,5.65,6/15/2054,"369,000","371,339","364,834"
ELEVANCE HEALTH INC,6.10,10/15/2052,"1,950,000","2,017,979","2,045,999"
ELEVANCE HEALTH INC,4.65,1/15/2043,"790,000","721,459","697,104"
ELEVANCE HEALTH INC,5.38,6/15/2034,"49,000","49,467","49,226"
ELEVANCE HEALTH INC,4.10,5/15/2032,"307,000","286,940","284,825"
ELI LILLY + CO,5.10,2/9/2064,"200,000","196,807","190,566"
ELI LILLY + CO,4.95,2/27/2063,"1,608,000","1,537,237","1,492,835"
ELI LILLY + CO,2.50,9/15/2060,"699,000","408,064","391,880"
ELI LILLY + CO,5.00,2/9/2054,"675,000","665,615","644,733"
ELI LILLY + CO,4.88,2/27/2053,"1,200,000","1,147,558","1,123,644"
ELI LILLY + CO,2.25,5/15/2050,"693,000","421,528","404,296"
EMBECTA CORP,5.00,2/15/2030,"1,314,000","1,113,153","1,082,513"
EMBRAER NETHERLANDS FINA,7.00,7/28/2030,"1,865,000","1,871,448","1,945,307"
EMERA US FINANCE LP,4.75,6/15/2046,"130,000","100,735","106,925"
EMERSON ELECTRIC CO,2.80,12/21/2051,"901,000","574,074","566,297"
EMERSON ELECTRIC CO,2.75,10/15/2050,"107,000","67,555","68,279"
EMPRESA DE LOS FERROCARR,3.83,9/14/2061,"580,000","376,880","382,116"
EMPRESA DE TRANSMISION,5.13,5/2/2049,"400,000","307,502","289,524"
EMPRESA DE TRANSPORTE ME,4.70,5/7/2050,"230,000","188,486","186,091"
EMPRESA NACIONAL DEL PET,6.15,5/10/2033,"1,390,000","1,377,341","1,382,689"
EMPRESA NACIONAL DEL PET,5.25,11/6/2029,"660,000","623,618","643,249"
EMPRESA NACIONAL DEL PET,3.75,8/5/2026,"1,000,000","957,213","955,590"
EMRLD BOR / EMRLD CO ISS,6.63,12/15/2030,"457,000","449,298","460,926"
ENBRIDGE ENERGY PARTNERS,5.50,9/15/2040,"528,000","509,382","503,638"
ENBRIDGE INC,5.95,4/5/2054,"1,131,000","1,140,204","1,122,438"
ENCOMPASS HEALTH CORP,4.63,4/1/2031,"727,000","646,623","668,142"
ENCORE CAPITAL GROUP INC,9.25,4/1/2029,"305,000","305,000","317,892"
ENDEAVOR ENERGY RESOURCE,5.75,1/30/2028,"140,000","137,189","141,364"
ENDEAVOUR MINING PLC,5.00,10/14/2026,"788,000","741,855","745,346"
ENERGEAN ISRAEL FINANCE,8.50,9/30/2033,"1,140,220","1,152,004","1,077,508"
ENERGIZER HOLDINGS INC,4.38,3/31/2029,"2,411,000","2,192,223","2,179,448"
ENERGIZER HOLDINGS INC,4.75,6/15/2028,"506,000","475,261","473,864"
ENERGIZER HOLDINGS INC,6.50,12/31/2027,"417,000","403,435","416,566"
ENERGY TRANSFER LP,6.05,9/1/2054,"1,500,000","1,496,522","1,472,295"
